,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
10,1351,langfroi12345all,0.10515622712897829,0.23135450541610808,0.11020211744472748,0.24245598262061288,0.4545242243709371,2,11,3.8,3.6,8020.0,10000.0,7.620651139105895,0.4883686061633408,-0.0675656981422151,STSda,p5
11,1634,langfroi12345all,-0.09288099065481033,-0.16824638384902413,-0.09604927364351053,-0.17398547160100838,0.5520534143435563,1,2,1.8,0.4000000000000001,26020.0,10000.0,4.4892788409663735,0.4425837378955317,0.2012630949960908,45,p5
12,1671,langfroi12345all,0.0691819642951582,0.11999162297807957,0.07008004799164215,0.1215492908097055,0.5765566176881912,1,1,1.0,0.0,60220.0,100000.0,9.819223781642329,0.349690337096128,0.2960945124175979,PGi,p5
13,1805,langfroi12345all,0.03989418678817301,0.0648248342014753,0.04038288894992764,0.06561893577767382,0.6154151766000983,2,11,4.4,2.939387691339814,622.0,1000.0,6.065446288921539,0.2460036721301127,0.4779664064997316,55b,p5
14,2028,langfroi12345all,-0.04476952980775847,-0.1567672354863577,-0.04600915131006276,-0.16110795643652528,0.2855796344744143,1,2,1.4,0.4898979485566356,82000.0,100000.0,4.737781482582814,0.3045843510484481,0.1237000286957482,8C,p5
15,2313,langfroi12345all,0.26972073254604945,0.40417821486886424,0.28053866150626294,0.4203889494847907,0.6673311985247904,5,14,9.0,2.280350850198276,820.0,1000.0,5.974199687961089,0.5557073928489746,0.3891428954910137,STSdp,p5
16,2314,langfroi12345all,-0.20158848611123367,-0.32828521875764477,-0.20247138456572575,-0.3297230117480331,0.6140650708372452,1,1,1.0,0.0,80200.0,100000.0,6.42749878554753,0.5898672420232047,0.2246129177507053,STSdp,p5
17,2459,langfroi12345all,0.04629482876672312,0.07522099414393003,0.046534467570714916,0.07561036525841361,0.6154509029505945,1,1,1.0,0.0,100000.0,100000.0,6.624072989462344,0.44725238393942,-0.1338569673595807,STSva,p5
18,3080,langfroi12345all,-0.05559525522097919,-0.15271581372710882,-0.05677911566104043,-0.15596778567551822,0.3640438659504087,1,2,1.4,0.4898979485566356,82000.0,100000.0,4.1852894640778135,0.4446782361185396,0.1724834517520979,45,p5
19,3149,langfroi12345all,-0.10357853457896468,-0.13207133555038653,-0.10536587068600792,-0.13435033928117082,0.7842620364768587,1,1,1.0,0.0,100000.0,100000.0,6.463727290976874,0.4842100775038668,0.57319731037761,TPOJ1,p5
20,3743,langfroi12345all,-0.11940352347550891,-0.26943005593178165,-0.1208684653201389,-0.2727356481927707,0.4431707630485787,1,2,1.2,0.4,62200.0,100000.0,5.2332487883565,0.1407350749022797,0.2608939726989656,PGi,p5
21,3744,langfroi12345all,0.03356181005690486,0.06872620415742488,0.033749127325021264,0.06910978313570262,0.4883408078238668,2,11,4.2,3.4871191548325386,6220.0,10000.0,6.590457522952306,0.4248980991957122,0.1699475255427193,PGi,p5
22,3755,langfroi12345all,0.047668764367528565,0.07812292950707524,0.04854998624543849,0.07956713800631934,0.6101763549869367,1,5,2.2,1.16619037896906,40600.0,1000.0,7.704925306904542,0.1602807028844989,0.0397238281575347,TPOJ1,p5
23,3968,langfroi12345all,-0.05646148993224578,-0.08404438705940671,-0.05685199114871017,-0.08462565821295023,0.6718056006802217,1,2,1.2,0.4,100000.0,100000.0,6.8683824765856585,0.3310651612936763,0.4698409106262823,55b,p5
24,3969,langfroi12345all,0.052654139748559016,0.29598355869276255,0.05373998621931254,0.30208740359731057,0.17789548845588135,2,16,6.0,4.516635916254486,100.0,100.0,6.172135157138137,-0.039551306234216,0.2166014016705756,55b,p5
25,4200,langfroi12345all,-0.14475891842579697,-0.2501702810151538,-0.14712156567163323,-0.25425337400768344,0.5786415470230388,1,2,1.2,0.4000000000000001,60400.0,100000.0,5.665524670141626,0.2821671157463158,0.2216159478580132,PGi,p5
26,4430,langfroi12345all,0.08380423179501803,0.12601556020803817,0.08493440043560806,0.12771498315271548,0.6650308236273856,1,8,3.6,1.7435595774162693,40600.0,1000.0,5.70633586620407,0.5519812339923432,0.3373803907672328,IFJa,p5
27,4431,langfroi12345all,0.08594038693715585,0.17580791378273103,0.08693783064319927,0.17784838047510745,0.4888311628756581,1,50,12.6,18.423897524682445,60040.0,100000.0,4.718913382480259,0.4654987510165831,0.166887573612799,IFJa,p5
28,4450,langfroi12345all,0.0669767746270509,0.12564376025451474,0.07057838213898986,0.13240012487912822,0.533068848714628,1,1,1.0,0.0,20440.0,1000.0,5.023641520600313,0.2067207373144635,0.3761894669438301,8C,p5
29,4908,langfroi12345all,-0.04613567692333509,-0.11110665231318301,-0.04641099843181396,-0.11176969777294153,0.4152377554612093,1,2,1.6,0.4898979485566356,82000.0,100000.0,2.2735305760773032,0.0050698071138336,-0.0263027717152574,IFSa,p5
30,4909,langfroi12345all,-0.1187034849195868,-0.34195756252684717,-0.12049308120326557,-0.34711297968657473,0.34712928716196284,1,1,1.0,0.0,100000.0,100000.0,2.9264859422164937,0.1698837259877147,-0.0863083240829377,IFSa,p5
31,4918,langfroi12345all,0.13440426726878468,0.2619869568444914,0.13757408322381318,0.2681657073610526,0.5130189261618987,2,2,2.0,0.0,24220.0,10000.0,2.141695147680489,0.0845536652320713,0.18539099477465,45,p5
32,4921,langfroi12345all,0.12685775555962367,0.5012799588345704,0.13388597795422927,0.5290520648213599,0.25306767869706226,2,4,2.4,0.4898979485566356,4600.0,1000.0,2.11551164001096,0.388070364758602,0.0074314055784373,45,p5
33,4936,langfroi12345all,-0.15069189803315453,-0.2344651544631302,-0.15529933275548302,-0.24163397314515292,0.6427048760324465,1,2,1.2,0.4,80020.0,100000.0,4.787194411340416,0.5269582592893637,0.3683907240933344,45,p5
34,4937,langfroi12345all,-0.00996549730969859,-0.045923760965522774,-0.00954929275569034,-0.04400577555475605,0.21700089670748393,1,26,6.2,9.907572861200668,20062.0,100.0,3.847157872600993,0.3900894696665271,0.2582721610851509,45,p5
35,5036,langfroi12345all,0.09664511378400523,0.20117117640382282,0.09711557680190047,0.2021504664585275,0.48041233098922564,2,31,10.4,9.221713506718803,100.0,100.0,7.061986599360051,0.1821392777244841,0.5170722135088659,PSL,p5
