,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
19,2308,langfroi12345all,0.3565052045589382,0.5326259598598804,0.3602735281590863,0.5382559112572932,0.6693350144869491,7,19,11.6,1.8547236990991407,1000.0,1000.0,5.9404534292898346,0.3046310577956384,0.3258295353580491,PHT,p3
20,2309,langfroi12345all,0.007700909337023607,0.014439298468231656,0.007688439182291193,0.014415916776765599,0.5333298812242585,1,16,6.0,4.33589667773576,22420.0,1000.0,10.015948897748263,0.2268307275146452,-0.073308239118404,PHT,p3
21,2312,langfroi12345all,0.11934235553756464,0.2745250763646065,0.12031813642294256,0.2767696803098435,0.43472296636050045,1,10,4.8,1.6,1000.0,1000.0,6.997089979174458,0.178556429242227,0.2719562790859157,STSvp,p3
22,2457,langfroi12345all,0.35972006948333696,0.6831594084944915,0.3643562829392673,0.6919642351108011,0.526553634496622,5,19,11.8,1.469693845669907,640.0,1000.0,4.2405259693793305,0.2222463662973607,-0.1415578749892697,STSva,p3
23,2459,langfroi12345all,-0.040462761018615324,-0.14318482167861984,-0.040778197810007875,-0.1443010519997697,0.2825911332238448,1,37,11.0,12.263767773404714,60040.0,100000.0,4.545377927465414,0.1363215061066146,0.2027831128245195,STSva,p3
24,2664,langfroi12345all,0.24909830565822283,0.4240918349305222,0.250588706692871,0.42662925447617545,0.5873687846384308,3,31,10.6,7.391887445030531,820.0,1000.0,5.299825910571064,0.4725384922640183,-0.0390638400142204,IFSp,p3
25,2738,langfroi12345all,0.2831154767308539,0.501540038709864,0.3018067952979857,0.5346517737020473,0.5644922735563161,3,45,11.4,16.799999999999997,802.0,1000.0,6.114688708103419,0.1105192848347614,-0.2590653732101731,PHT,p3
26,2926,langfroi12345all,0.0030569196049609337,0.011374427996925802,0.003255305386888402,0.012112597489013785,0.2687536995958949,1,11,4.8,2.7856776554368237,40240.0,1000.0,3.6074397817681056,0.0116551345043148,-0.1769004179867346,8C,p3
27,3081,langfroi12345all,0.2557216661346532,0.42064222253730305,0.2610914514834941,0.42947510118159954,0.6079315209779624,3,34,13.0,8.0,640.0,1000.0,8.143312694821518,0.1883639040320411,0.3078361726762594,45,p3
28,3082,langfroi12345all,0.2831542618548889,0.4065976557383779,0.2866299021616131,0.41158852958801156,0.6963991500164534,4,11,6.6,0.7999999999999999,820.0,1000.0,10.15514379722432,0.2195203384814866,0.2818048903625619,45,p3
29,3084,langfroi12345all,0.2510596648796029,0.35091406560797217,0.2528933854684775,0.3534771151019624,0.7154448609651265,3,30,10.4,8.16333265278342,820.0,1000.0,10.569229569673135,0.1556265749094895,0.3292002620979598,45,p3
30,3086,langfroi12345all,0.26040998704698304,0.3962949744299009,0.2672718675444754,0.4067374647012289,0.6571115049379612,4,33,11.0,9.838699100999074,442.0,100.0,5.810720686053402,0.3741040612849629,-0.2723027834632484,47l,p3
31,3087,langfroi12345all,0.18600834684750736,0.2659806097598839,0.19104359877834237,0.2731807134195121,0.6993304775691275,4,62,16.4,20.460694025374604,460.0,100.0,6.394684178212704,0.3324673930363436,-0.2969113941013686,47l,p3
32,3489,langfroi12345all,0.3024236545561011,0.5471450834987233,0.30688687069374976,0.55521993719987,0.5527302788179157,9,77,30.2,12.023310692151309,280.0,100.0,8.293581787746094,0.3171670904405234,0.3518021179056375,STSvp,p3
33,3491,langfroi12345all,0.26144217860676433,0.5048558537671275,0.26586292476401696,0.5133925007129306,0.5178550999378102,4,121,33.0,41.012193308819754,442.0,100.0,8.109094125402436,0.3883628964356783,-0.0605781352587129,STSvp,p3
34,3742,langfroi12345all,0.3291795406821784,0.4402614662226259,0.3340294818633463,0.44674802432125343,0.7476910107679581,4,47,14.0,15.504837954651444,820.0,1000.0,7.78291851182179,0.1392117764772231,0.2865952812863638,PGi,p3
35,4203,langfroi12345all,0.18991402441040864,0.3508471605525543,0.19044492082236222,0.35182793856123334,0.5413013008607801,2,19,8.4,3.4985711369071804,2620.0,1000.0,8.010001936736998,0.2685948098237624,0.1492784947115404,PFm,p3
36,4205,langfroi12345all,0.033929361793820105,0.07765270043050802,0.03462959974811355,0.07925530552591904,0.4369373068253273,1,116,30.6,36.081019941237805,40222.0,1000.0,6.367357364899086,0.1219812829093702,0.0888247514564985,PFm,p3
37,4452,langfroi12345all,0.18899772546796112,0.40149313590779273,0.19958493098989671,0.4239838316819215,0.4707371273997733,1,34,9.6,10.96540012949824,244.0,100.0,4.565789501256105,0.3365920966489852,0.0155596174639616,8C,p3
38,4453,langfroi12345all,0.13264394870948384,0.41961216791534944,0.13543322478208955,0.4284358963336275,0.31611082530915263,3,88,28.0,21.36352030916253,460.0,100.0,3.428455146452972,0.1263697050239255,-0.1583318164926961,8C,p3
39,4454,langfroi12345all,0.10431458543617585,0.19312556493265576,0.10664068416394579,0.19743204929446687,0.5401386681900507,2,95,23.2,33.99647040502881,622.0,1000.0,4.163473713862559,0.3020697495038524,-0.27006472990204,8C,p3
40,4455,langfroi12345all,0.193776285567089,0.5629496980349078,0.19436245826257442,0.5646526192203052,0.3442159863367991,4,31,11.4,7.605261336732617,820.0,1000.0,6.548819242168904,0.2285828652639022,-0.1602766988390277,8C,p3
41,4456,langfroi12345all,0.1815720118460989,0.2992291260950626,0.18295344227954694,0.30150571166108114,0.6067992585334591,3,44,15.6,9.748846085563153,100.0,100.0,6.154997123833931,0.3865618166674063,-0.1922405409579358,8C,p3
42,4906,langfroi12345all,0.3483873979228817,0.6984617684933176,0.35396240971417064,0.7096387875770468,0.4987923657931963,6,64,24.0,13.754999091239519,460.0,100.0,7.047359436414905,0.3459374162987536,0.0484369436850415,p9-46v,p3
