,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,5519,abstract,0.5535275891667735,0.7682474626147554,0.5633343546662747,0.7818583879939053,0.720506888864721,7,27,14.6,3.0724582991474434,100.0,100.0,8.667701134527375,0.0843603454182365,0.5874078951647311,STGa,0.05247805479990475,0.0728349105483123,p7
1,28365,abstract,0.5234999535904449,0.8135556401505599,0.5308903247181843,0.8250407951587723,0.6434716050810783,5,89,33.0,22.40535650240808,260.002,100.0,9.00607843142621,0.0223919530319872,0.5873304764756573,STGa,0.048222729904121686,0.07494150405913491,p7
2,28366,abstract,0.5953446340163842,0.8054402899629319,0.6008030658817952,0.8128249889981105,0.7391542755376481,11,148,58.4,21.36913662270893,46.0,10.0,10.48004648439259,0.0420356690945541,0.633548175213515,STGa,0.03683057136404333,0.049827989342621885,p7
3,28367,abstract,0.42936368985655227,0.6354824452845712,0.4370353399628087,0.6468369195544384,0.6756499617613855,6,28,14.8,4.261455150532504,280.0,100.0,8.070911054396825,0.0843222206726696,0.5099480060433296,STGa,0.0577101637897135,0.08541429298577329,p7
4,40093,abstract,0.5694035924961102,0.8791667371825471,0.578631839103378,0.8934152729602398,0.647662802076509,8,91,31.2,25.93376177880872,46.0,10.0,10.727128401222735,0.0673835546379028,0.5545143314608073,STGa,0.04955631851554487,0.07651561639275795,p7
5,62635,abstract,0.422080249296684,0.5836607130071555,0.4278342591163795,0.5916174688127394,0.7231602879728336,7,108,33.0,28.823601440486232,64.0,100.0,9.226470540562982,0.0990338104795178,0.6195332249774052,STGa,0.05110844108716406,0.07067373850191841,p7
6,62637,abstract,0.3920824511412777,0.58775166393387,0.3946680658630217,0.5916276327526055,0.6670886280730159,4,23,10.6,4.317406628984581,640.0,1000.0,8.81429403867201,0.0836788221490204,0.504759261781234,STGa,0.03621881521296455,0.05429385795046147,p7
7,89986,abstract,0.5882838857816031,0.8112974238853872,0.592881127210616,0.8176374413811613,0.7251149436223411,6,49,21.8,11.720068259186888,100.0,100.0,10.486691551971637,0.0389641718669514,0.6038213471476762,STGa,0.03440760394209319,0.04745124099940433,p7
8,89987,abstract,0.5013664378369285,0.8332771115142218,0.5112842850937597,0.8497606941614103,0.6016803184787484,5,93,28.0,28.333725487482226,64.0,100.0,8.75058796570613,0.0166477394880213,0.5409717464389066,STGa,0.057616246678315,0.09575890204284625,p7
9,89988,abstract,0.5716042556367691,0.8576719569480155,0.5819272277087422,0.8731612112199694,0.6664602369311402,7,26,15.6,3.006659275674582,100.0,100.0,9.631164107212348,0.0850179648546918,0.5757319126214058,STGa,0.05195489303323275,0.0779564783526625,p7
