,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Num Features,Average Num Features Agree Direction,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,848,ghost_additional,0.05614059781280493,0.09030314939811954,0.05757201006548693,0.09260560144779754,0.6216903639240515,10,7.2,64000.0,100000.0,1.4470861387820044,0.0036752405416691,-0.08476351125325,FEF,0.07115509560155664,0.11445423595185282,p4
1,1099,ghost_additional,0.07638368316666044,0.1259135750745282,0.0810275457497945,0.13356868302109628,0.6066358065160883,10,4.6,28000.0,10000.0,1.849000286668921,0.1040518960572296,0.0381457248716178,SCEF,0.12218194409244786,0.20140905429591968,p4
2,4699,ghost_additional,-0.09170031148996463,-0.159149750478386,-0.09227672983943272,-0.16015014878672817,0.5761888486430167,10,6.4,82000.0,100000.0,1.4752103098574996,0.0046415208619222,0.0659074365545538,8BL,0.051858024141310514,0.09000178372670946,p4
3,5808,ghost_additional,0.12481141474061067,0.20158657493022913,0.12627092606467785,0.2039438744568954,0.6191454702963676,10,6.0,80020.0,100000.0,1.2103397817251291,-0.0506642051732072,-0.0377110591164153,PFm,0.04969190169690857,0.08025884720293996,p4
4,13521,ghost_additional,0.04130008564474265,0.07136189093446865,0.041626474423873704,0.07192585394071849,0.5787414697666624,10,5.0,82000.0,100000.0,1.0986806763634491,-0.0880116180392843,0.0330449866796623,PFm,0.04074032107186951,0.07039468087243729,p4
5,13625,ghost_additional,-0.02870729030627603,-0.0499753724667964,-0.028470213384137116,-0.04956265474384977,0.5744287413835512,10,6.0,80200.0,100000.0,0.0066116747829725,-0.1163771896978778,-0.0178657251019207,4,0.10300709672756478,0.17932093105136956,p4
6,14397,ghost_additional,-0.05765818832424572,-0.1007812225785297,-0.05862987970584468,-0.10247964995290115,0.5721124119060761,10,5.2,100000.0,100000.0,0.6453603057610133,-0.1284325954558551,0.0365562938663027,Unknown,0.058403058485311514,0.10208318727211876,p4
7,14433,ghost_additional,0.2375506532403621,0.40674475342249616,0.24150659152284504,0.4135182862219831,0.5840288073577489,10,5.4,280.0,100.0,1.696234086066586,0.1172927505598942,0.0690974929882807,STSvp,0.060280617179567175,0.10321514353425049,p4
8,15106,ghost_additional,0.16488637409664628,0.2842790617922896,0.16704170553110576,0.28799504864321296,0.5800158937386729,10,7.6,22600.0,1000.0,1.265517430637516,-0.0698872225226156,-0.0253055330392861,PF,0.05482529560908958,0.09452378150484132,p4
9,15269,ghost_additional,0.179476066292578,0.28262692447374543,0.18035600178868427,0.2840125881342938,0.6350281970720394,10,6.4,4600.0,1000.0,3.828655359448011,-0.1341710046049212,-0.1163276092617597,IP0,0.034119602567505014,0.05372927174702195,p4
10,16982,ghost_additional,-0.017989951257549385,-0.031181724900736126,-0.015659243930022087,-0.027141943265386322,0.5769389382665192,10,6.8,82000.0,100000.0,-0.4989340399938346,-0.0464564564792409,0.0289023029819887,TPOJ3,0.09637913940322189,0.16705258218972763,p4
11,19966,ghost_additional,0.06595713445439819,0.11370599960059596,0.07055733187906384,0.12163645399129328,0.5800673199838128,10,4.2,46000.0,10000.0,1.5442997813813013,0.0903678792480703,0.0350389624499696,SCEF,0.11686647304394794,0.2014705345703826,p4
12,21158,ghost_additional,0.16937113450718494,0.2632818354453438,0.17115118787669836,0.2660488696255174,0.6433073296556597,10,5.8,10000.0,10000.0,0.3679846128415151,0.0787763737015069,-0.092102660101189,PHT,0.05154143242340853,0.08011945464852216,p4
13,23282,ghost_additional,-0.04319924802173265,-0.0743128081277499,-0.04402556896483912,-0.0757342733733051,0.5813163182781298,10,5.2,82000.0,100000.0,-1.7369771665786784,0.1186499784596794,-0.0883892940795855,LIPd,0.06487887897792918,0.11160684284608022,p4
14,24021,ghost_additional,-0.24832918379938781,-0.4343868170441764,-0.2553334296007884,-0.4466389091781535,0.5716775326865713,10,4.8,100000.0,100000.0,0.7713164055662144,-0.0385136405570589,0.0694943365531711,PoI1,0.08023883927717745,0.1403568177677,p4
15,25165,ghost_additional,-0.08954711951654777,-0.151425086977024,-0.09045338905317833,-0.1529575979516908,0.5913625100320062,10,6.2,100000.0,100000.0,1.4000214045014712,-0.0753797617031834,0.0164577443406222,TPOJ3,0.06555624129354554,0.11085626867012155,p4
16,25166,ghost_additional,-0.014897469479094405,-0.024151755012894967,-0.01474590531701008,-0.023906039422302072,0.6168276165082178,10,5.2,62200.0,100000.0,-0.373988046239478,-0.0698877024441314,0.0533001399666362,TPOJ3,0.05526290045437352,0.0895921307272358,p4
17,25176,ghost_additional,0.3064684551187492,0.513268711877287,0.31475668495326903,0.5271497132653695,0.5970916364604358,10,6.4,280.0,100.0,6.634197456384314,0.0032772355668559,-0.102798226283703,TPOJ1,0.0719818895304064,0.12055417482836578,p4
18,27961,ghost_additional,-0.13814833338998528,-0.24047290932347887,-0.1399347666302754,-0.24358252916516043,0.5744860565734295,10,3.6,100000.0,100000.0,1.3923246206151654,-0.0439583732413728,0.1004269951959522,23c,0.05441996775656599,0.0947280915417834,p4
19,28310,ghost_additional,0.11413905161525109,0.19750264974155635,0.11518225026343305,0.19930776809769327,0.5779114951855514,10,7.8,46000.0,10000.0,-0.0532253445074287,-0.0845008581482264,0.1199513924285189,PeEc,0.046244417670360874,0.08001989587612039,p4
20,28331,ghost_additional,0.0982312485540033,0.15147869546716133,0.09845905108652998,0.15182998114212948,0.648482271721825,10,7.2,82000.0,100000.0,3.942778591174689,0.0734078363814667,0.0762014892321478,STSda,0.0233705282212657,0.03603880821477691,p4
