neuroid,participant,dataset,NC Normalized R,R,R Fischer,NC Normalized R Fischer,feature_indices,Unnamed: 0,neuroid_id,betas_mean,r2,parc_lang_SN220,parc_lang,parc_speech_NQ17,parc_glasser,parc_name_glasser,r2_langloc,tstat_langloc_SN,tstat_langloc_run1_SN,tstat_langloc_run2_SN,betas_langloc_S,betas_langloc_N,betas_langloc_S_run1,betas_langloc_N_run1,betas_langloc_S_run2,betas_langloc_N_run2,tstat_langloc_NS,tstat_langloc_run1_NS,tstat_langloc_run2_NS,tstat_langloc_N0,tstat_langloc_run1_N0,tstat_langloc_run2_N0,r2_speechloc,tstat_speechloc_SN,tstat_speechloc_NQ,tstat_speechloc_run1_SN,tstat_speechloc_run2_SN,tstat_speechloc_run1_NQ,tstat_speechloc_run2_NQ,betas_speechloc_S,betas_speechloc_N,betas_speechloc_Q,betas_speechloc_S_run1,betas_speechloc_N_run1,betas_speechloc_Q_run1,betas_speechloc_S_run2,betas_speechloc_N_run2,betas_speechloc_Q_run2,tstat_speechloc_NS,tstat_speechloc_run1_NS,tstat_speechloc_run2_NS,tstat_speechloc_N0,tstat_speechloc_run1_N0,tstat_speechloc_run2_N0,top10_tstat_langloc_SN_parc_lang,top10_tstat_langloc_SN_parc_lang_int,top10_tstat_langloc_SN_parc_lang_froi,top10_tstat_langloc_SN_parc_lang_netw,top10_tstat_langloc_SN_parc_lang_SN220,top10_tstat_langloc_SN_parc_lang_SN220_int,top10_tstat_langloc_SN_parc_lang_SN220_froi,top10_tstat_langloc_SN_parc_lang_SN220_netw,top10_tstat_speechloc_SN_parc_lang,top10_tstat_speechloc_SN_parc_lang_int,top10_tstat_speechloc_SN_parc_lang_froi,top10_tstat_speechloc_SN_parc_lang_netw,top10_tstat_speechloc_SN_parc_lang_SN220,top10_tstat_speechloc_SN_parc_lang_SN220_int,top10_tstat_speechloc_SN_parc_lang_SN220_froi,top10_tstat_speechloc_SN_parc_lang_SN220_netw,top10_tstat_speechloc_NQ_parc_speech_NQ17,top10_tstat_speechloc_NQ_parc_speech_NQ17_int,top10_tstat_speechloc_NQ_parc_speech_NQ17_froi,top10_tstat_speechloc_NQ_parc_speech_NQ17_netw,ncsnr,nc,corr_SentPC1,corr_SentPC2,corr_freq,corr_conc,2PC_model_coef_0_avg,2PC_model_coef_1_avg,quadrant16,R2_test_PC2_avg
121,p3,langfroi12345,0.487183397239367,0.3124581005226972,0.3206956865905326,0.5000274078726846,"[    -3     -8      9     10    -16     32    -44    -60     71    -72
    -79     82     87    -88    -90    -93     94    105    121   -131
    170    346    476   -607    780   1024   1244   1282  -1473   1614
   1795  -1916  -4557   4630  -4916   8071 -32768]",121,121,0.5554903077706694,12.801310539245604,1,1,0,75,45,40.839237213134766,6.758553058109736,3.791309139694361,8.433978005736915,3.2414538113516755,0.5483245840296149,2.867440312751569,0.1860805246978998,3.6154673099517822,0.91056864336133,-6.758553058109736,-3.791309139694361,-8.433978005736915,1.8825033467414976,0.3669410328632314,3.4677923229256207,32.860469818115234,0.8940026879424959,2.501207094918517,0.8433812811366118,0.5445950223043249,4.1426365944465005,0.8947143065273921,2.4889557659626007,1.8501201635226607,-0.1044765189290046,2.754746437072754,2.215370625257492,-0.3208237253129482,2.2231650948524475,1.4848697017878294,0.1118706874549388,-0.8940026879424959,-0.8433812811366118,-0.5445950223043249,5.171278510365563,7.258612988291933,2.304309752239546,1,1,lang_LH_IFGorb,lang,1,1,lang_LH_IFGorb,lang,0,0,,,0,0,,,0,0,,,0.4826203226290629,41.133779677926064,0.4423793006094207,-0.0437291268951709,-0.3452016634402179,-0.0525919244420114,0.3633527725831319,-0.0503281097634447,15.0,12.560105099243646
684,p3,langfroi12345,0.5466833807321786,0.3841985910808915,0.3864784662766051,0.549927457906261,[    40    -44    -71    -79    389 -32768],684,684,1.085550421923399,24.95999526977539,5,5,0,130,STSvp,30.17447662353516,11.600527837938364,6.111668620562999,13.232132959958989,1.3968308679759502,-0.3387480229139328,1.289939172565937,-0.3686356656253338,1.5037225633859634,-0.3088603802025318,-11.600527837938364,-6.111668620562999,-13.232132959958989,-3.1298814856092965,-1.9117824287855905,-2.7335928763257527,36.478981018066406,4.312995025894802,3.6111782336037503,2.419317498334843,4.067784516318916,3.31258450649435,3.7035621281706894,2.700187996029854,1.638035997748375,0.563045222312212,2.620505511760712,1.9743711054325104,1.0387135744094849,2.779870480298996,1.3017008900642395,0.0873768702149391,-4.312995025894802,-2.419317498334843,-4.067784516318916,10.007305669228522,9.466832669808957,16.637439937436838,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,0,0,,,0.5703500376234626,49.39008719342799,0.3268521922016944,0.3237716059960174,-0.1327271336777645,-0.2481347251498846,0.2081675155564646,0.2233919943230044,2.0,14.558242879264148
744,p3,langfroi12345,0.5050329459512181,0.3468341157474782,0.3515230357664189,0.511860587705524,[    -3    -40    -44    -60    -71    389  -1916 -32768],744,744,-1.363216680896779,21.74101448059082,0,2,0,81,IFSp,55.15066146850586,5.320196292013276,3.746858178523385,5.533752159130339,7.128669232130051,3.494609694927931,5.722289800643921,2.675999723374844,8.53504866361618,4.313219666481018,-5.320196292013276,-3.746858178523385,-5.533752159130339,7.2731229168888625,3.95750242025888,7.38921246502001,55.194969177246094,0.1683155443057139,3.189953384462806,-1.1230786295482102,2.089629865661444,2.8372903124406874,2.821695522539081,6.908775568008423,6.724808156490326,2.870976785197854,6.969270348548889,8.633849859237671,3.5466182827949524,6.8482807874679565,4.815766453742981,2.195335287600756,-0.1683155443057139,1.1230786295482102,-2.089629865661444,7.03683509871894,6.530598899387423,16.565547721253726,1,2,lang_LH_IFG,lang,0,0,,,0,0,,,0,0,,,0,0,,,0.5454734730228392,47.16330146147734,0.5024865491753046,-0.0900265940150254,-0.3605858466342619,0.0197264124689863,0.8453692201853794,-0.1740808433453479,15.0,9.604471352622843
1669,p3,langfroi12345,0.4117037439622255,0.252313051802106,0.2577921770273756,0.4206441311232139,[   -44    -71    -79    389   1128 -32768],1669,1669,0.6074642580235377,16.24018669128418,5,5,0,150,PGi,45.02325439453125,11.502779464872972,7.491405066414548,9.755947089054017,2.028276838362217,0.1417198260314762,2.2102012932300568,0.2272511906921863,1.8463523834943767,0.0561884613707661,-11.502779464872972,-7.491405066414548,-9.755947089054017,1.228516271876566,1.1969158154827866,0.4087755581566994,32.08328628540039,10.522025983167998,0.9707318923720748,6.405460157838656,13.678778629211829,1.1776969673263022,0.5757643292352356,1.8046408742666245,0.0165284681133925,-0.167270952835679,1.5866522192955017,0.2361847162246704,0.0299409814178943,2.022629529237747,-0.2031277799978852,-0.3644828870892524,-10.522025983167998,-6.405460157838656,-13.678778629211829,0.1420875477057154,1.5518203769082546,-2.2973553011015677,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,0,0,,,0.4477731812742281,37.55863500203699,0.2888934884853563,0.2637318841649302,-0.0919564935263632,-0.2157196497971329,0.1223075036028686,0.1434538284738887,2.0,9.368245637572295
1749,p3,langfroi12345,0.477220677022315,0.3032170235320682,0.3069657761253314,0.4831206829972665,"[     1     -3     -8     10     16    -52    -71    -72    -79     87
    107   -110   -124   -142   -160    389   -423   -488    507   -539
    780    869   1128  -1469  -1589   1677   1820  -3305   3643  -4785
   8071 -27693 -32381 -32768]",1749,1749,0.6946074033435434,22.131317138671875,4,4,1,125,A5,17.439266204833984,5.562705912411216,3.5187038977128458,5.118089508907693,0.8616470312699676,-0.0291202166117727,0.9023670703172684,-0.1239786352962255,0.8209269922226667,0.06573820207268,-5.562705912411216,-3.5187038977128458,-5.118089508907693,-0.2115151518058952,-0.4845025922802081,0.5725546208410607,38.27640914916992,1.3439872950892109,1.552918696867051,-0.0498061677641943,1.5235639155159326,0.8672786568512894,1.461267786092971,1.935909740626812,1.3793255891650915,0.8436991162598133,1.5999892204999924,1.61832195520401,1.2148748338222504,2.271830260753632,1.140329223126173,0.4725233986973762,-1.3439872950892109,0.0498061677641943,-1.5235639155159326,6.246530338811899,5.922233417862595,3.36570890129092,1,4,lang_LH_AntTemp,lang,1,4,lang_LH_AntTemp,lang,0,0,,,0,0,,,0,0,,,0.475055826496907,40.37092083365782,0.3416071180502034,0.2663448788158382,-0.1422312564685601,-0.1179017385628748,0.1440064505199086,0.117610294413317,1.0,8.506956123401384
1913,p3,langfroi12345,0.571542486615112,0.4051481323976934,0.4087152861454178,0.5765746705500279,"[    16     40    -44    -71    -79    -82    -88    -94    107   -110
   -121   -375    389   -424   -607   8071 -23386 -32768]",1913,1913,0.8610567835004379,20.52583885192871,5,5,0,149,PFm,28.696489334106445,10.313544031253324,6.360641760707494,8.73071395423625,2.0352801233530045,0.1402879527304321,2.1609490364789963,0.2576444484293461,1.9096112102270129,0.0229314570315182,-10.313544031253324,-6.360641760707494,-8.73071395423625,0.9502304170744946,1.065446714286853,0.1302384239512077,24.40509796142578,7.206538824298668,-0.4876489170501468,4.3244239723045785,5.677158618214043,-1.1289833248503751,0.2521365981930639,2.108964264392853,-0.2699923254549503,-0.0784108079969883,1.8245097398757932,-0.268496073782444,0.2751404345035553,2.393418788909912,-0.2714885771274566,-0.4319620504975319,-7.206538824298668,-4.3244239723045785,-5.677158618214043,-1.0582400914449102,-0.6554981157195152,-0.7362073100712774,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,0,0,,,0.5802369912332694,50.249372482807416,0.2840460592870379,0.4784990703341819,-0.0402201951939915,-0.2930095912964108,0.1928695431883582,0.3841981769168707,2.0,21.52956987293553
2280,p3,langfroi12345,0.1866871415243609,0.1147100131756384,0.1157386993119314,0.1883612976768516,[   -44 -32768],2280,2280,0.3546724433886508,9.41486644744873,5,5,1,28,STV,23.428586959838867,8.29965266981479,4.786588544285341,9.16036350291792,2.2393874526023865,0.7734604403376579,2.0712858736515045,0.6153296269476414,2.4074890315532684,0.9315912537276744,-8.29965266981479,-4.786588544285341,-9.16036350291792,5.025083203087062,2.219642567274736,7.034346599279063,21.02081298828125,2.282397250022064,1.8211690189144003,0.9110794002663994,2.50149734281018,2.7120372446060155,0.5467829054039332,3.1079485565423965,1.6838799342513084,0.4806647375226021,3.1802752912044525,2.28878116607666,0.5217417627573013,3.035621821880341,1.0789787024259567,0.4395877122879028,-2.282397250022064,-0.9110794002663994,-2.50149734281018,4.554336896273423,4.2818034113646375,3.279103245852846,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,0,0,,,0,0,,,0,0,,,0.4496492469010912,37.75494546191157,0.4014113673990255,0.0314972395385096,-0.2191133941867812,-0.0335545283292694,0.256640200320921,0.0198846215998658,0.0,1.846310133715244
2308,p3,langfroi12345,0.3676552522745414,0.246084533607383,0.2551937146911988,0.3812645523808535,[    40    -71    -79 -32768],2308,2308,0.9659016954774656,26.337038040161133,5,5,1,137,PHT,35.80681610107422,5.9404534292898346,3.923198445266761,5.121483375647696,2.1987224146723747,1.0977378389798105,1.9683982729911804,0.9141854597255588,2.429046556353569,1.2812902182340622,-5.9404534292898346,-3.923198445266761,-5.121483375647696,8.101877280551815,4.4988168427078685,7.690405534134617,26.83110809326172,2.5181459373136086,0.5315438456833633,0.9290514258646068,2.8510873414597704,0.4981698418698506,0.2435059145638747,1.768832080066204,0.8939632549881935,0.6990278884768486,1.506710633635521,0.9713345021009444,0.7350495904684067,2.030953526496887,0.8165920078754425,0.6630061864852905,-2.5181459373136086,-0.9290514258646068,-2.8510873414597704,7.797272500549581,4.858631648119971,6.193457479834009,1,5,lang_LH_PostTemp,lang,1,5,lang_LH_PostTemp,lang,0,0,,,0,0,,,0,0,,,0.5201361767418775,44.80093616182443,0.3046310577956384,0.3258295353580491,-0.0388293074198167,-0.0656632659630134,0.1696627679730062,0.2040966933358368,2.0,10.461701239183508
2664,p3,langfroi12345,0.3517985187018968,0.2066354683675334,0.2092560165543482,0.3562600227098566,"[    -3     10    -40    -44    -71    -72     94   -119    368    389
    884   1128   1244  -1469  -1916  -4557 -22270 -32768]",2664,2664,-0.5157853216926257,8.597192764282227,0,2,0,81,IFSp,21.242603302001957,5.299825910571064,3.0645197036578167,4.590653001649242,3.376626133918762,1.4262761948630214,3.169517695903778,1.3160821255296469,3.5837345719337463,1.536470264196396,-5.299825910571064,-3.0645197036578167,-4.590653001649242,4.990051133656205,2.6951600093703925,4.670925636731694,27.90248680114746,-0.9524766690723124,1.2287999787177235,-1.8033058332514675,0.0023617120986168,2.541711670935346,0.2571767350429568,2.190694108605385,2.982581935822964,2.079182393848896,2.109385997056961,3.6965895891189575,2.238301694393158,2.2720022201538086,2.26857428252697,1.920063093304634,0.9524766690723124,1.8033058332514675,-0.0023617120986168,6.444217995790937,10.642026013877096,3.089632590885698,1,2,lang_LH_IFG,lang,0,0,,,0,0,,,0,0,,,0,0,,,0.4190156826175182,34.50020891676272,0.4725384922640183,-0.0390638400142204,-0.3182519757171775,0.0714378526403676,0.4152535058360421,-0.0419166244571622,15.0,9.821161339202453
3081,p3,langfroi12345,0.4716659629738016,0.2867406062641985,0.2949705631651648,0.4852036010415348,[    40    -44    -79    -88   -114 -23386 -32768],3081,3081,1.1808765517547726,17.508638381958008,1,1,0,75,45,34.49549102783203,8.143312694821518,5.551471570016621,6.180333392538237,2.666343185119331,-0.2842952818609774,2.2979926224797964,-0.5292398342862725,3.0346937477588654,-0.0393507294356823,-8.143312694821518,-5.551471570016621,-6.180333392538237,-1.30440297855817,-1.703106907919825,-0.1312608417768185,17.202926635742188,2.9682401400037266,0.174309785641248,1.6965425844685031,2.2527641161521825,0.192944882250286,0.0801060970454645,1.745140217244625,-0.0695604011416435,-0.200124341994524,1.635464370250702,-0.0612474083900451,-0.2079623118042946,1.8548160642385485,-0.0778733938932418,-0.1922863721847534,-2.9682401400037266,-1.6965425844685031,-2.2527641161521825,-0.1641265749474753,-0.0968621915968289,-0.1176151521946273,1,1,lang_LH_IFGorb,lang,1,1,lang_LH_IFGorb,lang,1,1,lang_LH_IFGorb,lang,0,0,,,0,0,,,0.4420580424226296,36.95807341985788,0.1883639040320411,0.3078361726762594,-0.0122762080994969,-0.2272616430156518,0.1489583551570585,0.3771401538665884,3.0,7.7566615881556915
