,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Num Features,Average Num Features Agree Direction,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,49,ghost_additional,0.06984335617242066,0.1212464263850234,0.0708413365026071,0.12297889680553038,0.5760446576019485,10,6.0,100000.0,100000.0,0.1898259733989324,-0.0656459720812016,-0.0400553878527597,6mp,0.06484642107344765,0.11257186438183593,p6
1,1395,ghost_additional,0.37517284917580573,0.6185099658229354,0.3911188666889924,0.6447985705787431,0.6065752694487848,10,6.0,1000.0,1000.0,6.427126260933456,0.0869872717130474,-0.0527535596389929,TF,0.09109055665420801,0.1501718933199915,p6
2,3869,ghost_additional,0.016030916253871284,0.02652814804845276,0.01736225900039664,0.028731269624521712,0.6042983560175916,10,4.8,60400.0,100000.0,-0.4742920291225203,-0.0580782630578928,0.0463017187300374,H,0.08943941119826118,0.14800538559740434,p6
3,13697,ghost_additional,0.008044846742885348,0.013886414716541827,0.008381796059326933,0.01446803150752683,0.5793321679570851,10,3.2,100000.0,100000.0,0.0917714692788842,0.1029344989284013,-0.0938947647900797,6ma,0.057461698123140725,0.09918609961840974,p6
4,15739,ghost_additional,-0.021806999776280356,-0.03777530835020142,-0.02162368144256875,-0.03745775404868153,0.577281847023337,10,4.6,44200.0,10000.0,3.216965286722921,-0.0048425164970687,0.1314872714153302,V4,0.12351472209398852,0.21395913058910956,p6
5,16170,ghost_additional,-0.07754324990178013,-0.13589280956112834,-0.08159408603080467,-0.1429918091947797,0.5706206984181825,10,5.0,100000.0,100000.0,-0.692407558965167,0.1006622091303538,0.0151226716557984,23c,0.08883234949622118,0.15567670388135815,p6
6,26451,ghost_additional,0.08431906577498469,0.14744065157610065,0.08701662865777307,0.1521576206915699,0.5718847880393684,10,4.4,82000.0,100000.0,-0.8349850836729881,-0.0781312285167073,-0.1239448574359303,8C,0.09835066741153342,0.17197636563951232,p6
7,28493,ghost_additional,-0.0438960686275631,-0.07661965776466306,-0.043953659667865436,-0.07672018170533106,0.5729087013464571,10,5.8,100000.0,100000.0,-0.9671429205482984,-0.1271625330095197,0.0029456178647537,TE1p,0.018970297283823573,0.03311225198576902,p6
8,29179,ghost_additional,-0.022423819380243813,-0.0377359226759942,-0.02345720499861727,-0.0394749555823947,0.5942300542848202,10,4.0,82000.0,100000.0,1.6956483527752353,0.0660617009708967,0.131256075106848,8BM,0.09193095496603987,0.15470600031612752,p6
9,32270,ghost_additional,0.052833604705275414,0.08666622175188389,0.0534852025353468,0.08773507787762112,0.6096216454033541,10,4.8,82000.0,100000.0,-0.4148322713314262,0.120807303812355,-0.023782466659141,4,0.07315277631905304,0.11999701268916027,p6
