sentence,item_id,surprisal-5gram_mean,surprisal-gpt2-xl_mean,surprisal-pcfg_mean,stimsetid,sent_identifier
"There'll be towels, soap, and all.",59,2.970168975,4.6158023,8.9269129,beta-control-neural-D.59,torontoadv.6.060922
Was he still in the laboratory?,60,2.254242897,4.811308,10.72470571,beta-control-neural-D.60,torontoadv.6.013709
He was a tall muscular man.,61,1.97544797,4.11011,9.222214286,beta-control-neural-D.61,torontoadv.6.060226
Its small head resembled a deer.,62,2.824247812,6.1505337,13.11131857,beta-control-neural-D.62,torontoadv.6.009997
He finally hit the ball back.,63,1.910087773,4.681649,9.112281429,beta-control-neural-D.63,torontoadv.6.050961
Already inflation was destabilizing financial markets.,64,3.642858322,5.812284,10.32366,beta-control-neural-D.64,torontoadv.6.060531
"It was a cylindrical, rocky chamber.",65,2.811284763,4.216495,9.72312625,beta-control-neural-D.65,torontoadv.6.022227
We ate it up like candy.,66,2.255336089,4.5055346,11.78162714,beta-control-neural-D.66,torontoadv.6.041181
The weather was warm and dry.,67,1.851357924,3.2525544,8.384311429,beta-control-neural-D.67,torontoadv.6.018937
His hand descended towards the king.,68,2.473676362,5.8967557,11.33610286,beta-control-neural-D.68,torontoadv.6.004797
He told her the truth unabashedly.,69,2.700438619,4.292229,11.12295857,beta-control-neural-D.69,torontoadv.6.029005
His tea was black but sweetened.,70,3.430779883,4.896988,11.49004714,beta-control-neural-D.70,torontoadv.6.006567
You got an elephant up there?,71,2.423446264,5.1361322,11.00311286,beta-control-neural-D.71,torontoadv.6.013061
A loud rumbling noise interrupted him.,72,3.205788357,4.162401,13.11358714,beta-control-neural-D.72,torontoadv.6.043171
This lady was an outrageous girl.,73,2.810354778,5.3378944,10.95553143,beta-control-neural-D.73,torontoadv.6.023104
He only doubted his own abilities.,74,2.520806653,4.540823,10.55020143,beta-control-neural-D.74,torontoadv.6.020531
The first floor had retail shops.,75,2.193690283,5.1446557,8.64946,beta-control-neural-D.75,torontoadv.6.043426
His demeanor was cynical and angry.,76,2.852591055,5.0203934,9.613978571,beta-control-neural-D.76,torontoadv.6.032711
It does wonders for the soul.,77,1.990709888,3.509277,9.92838,beta-control-neural-D.77,torontoadv.6.039142
His organization did some fantastic work.,78,3.100255966,5.5256386,11.45615429,beta-control-neural-D.78,torontoadv.6.016466
It was a night to celebrate.,79,1.929639816,2.9055352,8.501892857,beta-control-neural-D.79,torontoadv.6.038173
Another driver waited in a car.,80,2.360381322,5.3172207,10.11787286,beta-control-neural-D.80,torontoadv.6.021332
He is quite sick and weak.,81,2.186146966,4.481862,8.004071429,beta-control-neural-D.81,torontoadv.6.034028
Was he still in the garden?,82,2.245242391,4.5646024,9.959364286,beta-control-neural-D.82,torontoadv.6.047936
We accept most proudly and eagerly.,83,3.438614607,5.9716434,11.66613,beta-control-neural-D.83,torontoadv.6.003950
He truly was a skilled marksman.,84,2.04084863,4.2528305,10.67032857,beta-control-neural-D.84,torontoadv.6.046229
His skin was waxy and grey.,85,2.819160019,3.9896224,11.94012857,beta-control-neural-D.85,torontoadv.6.030296
He has had a distinguished career.,86,1.516467201,3.5272996,8.265372857,beta-control-neural-D.86,torontoadv.6.002479
"Strangely, I did not feel nervous.",87,2.670302553,3.5506437,8.30322625,beta-control-neural-D.87,torontoadv.6.001190
There is salad in that bowl.,88,3.252687548,5.3801694,10.28792286,beta-control-neural-D.88,torontoadv.6.056790
"Carefully though, he packed them away.",89,3.139323622,4.5975614,10.52188125,beta-control-neural-D.89,torontoadv.6.046833
Did you have a medical examination?,90,1.962074723,4.2140512,9.948355714,beta-control-neural-D.90,torontoadv.6.045023
And tomorrow would be another day.,91,2.509223717,4.2842817,8.251558571,beta-control-neural-D.91,torontoadv.6.041371
Is it because of the drugs?,92,1.837656311,3.5812764,10.16497571,beta-control-neural-D.92,torontoadv.6.020869
His mind sought a rational explanation.,93,2.642670759,5.0241046,10.55104286,beta-control-neural-D.93,torontoadv.6.027638
"She did this intentionally, he thought.",94,2.380793009,4.069857,9.916315,beta-control-neural-D.94,torontoadv.6.050699
She felt guilty about her deception.,95,1.787597541,4.586709,11.00837143,beta-control-neural-D.95,torontoadv.6.000629
He might need the knife again.,96,2.693534766,4.724833,10.24349714,beta-control-neural-D.96,torontoadv.6.032355
Without warning cameras started to flash.,97,3.216710227,5.0794644,12.52548857,beta-control-neural-D.97,torontoadv.6.057857
Look at that painting over there.,98,2.720974616,3.7624655,10.43653857,beta-control-neural-D.98,torontoadv.6.010474
The brick walls extended high up.,99,2.671276731,5.8529706,12.00054,beta-control-neural-D.99,torontoadv.6.061774
He seemed quite unconcerned and relaxed.,100,2.681282903,4.3006167,10.25602714,beta-control-neural-D.100,torontoadv.6.018644
What could frighten them this badly?,101,3.504298534,5.02508,11.48703429,beta-control-neural-D.101,torontoadv.6.015141
His sorrow gave way to anger.,102,2.722197556,4.1804104,12.36033571,beta-control-neural-D.102,torontoadv.6.037799
Take me to a computer terminal.,103,2.175930849,4.5429816,9.989755714,beta-control-neural-D.103,torontoadv.6.034240
He wanted to investigate the victim.,104,1.901921102,4.636469,8.820382857,beta-control-neural-D.104,torontoadv.6.015280
We played out the poker hand.,105,2.790696025,5.411147,10.48976143,beta-control-neural-D.105,torontoadv.6.007100
You are quite smart and attentive.,106,2.562071017,4.675925,9.76126,beta-control-neural-D.106,torontoadv.6.040357
The movie was a romantic comedy.,107,1.71167865,4.0204697,8.228321429,beta-control-neural-D.107,torontoadv.6.016470
There was nothing but political commentary.,108,2.097353007,5.326545,10.34108429,beta-control-neural-D.108,torontoadv.6.015805
Light is made up of photons.,109,2.23011381,3.2502007,9.080067143,beta-control-neural-D.109,torontoadv.6.014828
You're one of our top students.,110,2.243349129,3.8148541,8.44169525,beta-control-neural-D.110,torontoadv.6.044834
Please allow me to deliver it.,111,1.940575246,4.4280953,9.746192857,beta-control-neural-D.111,torontoadv.6.033219
"The judge spoke, breaking the silence.",112,2.607193666,4.105381,10.61776625,beta-control-neural-D.112,torontoadv.6.028979
She let out a choked laugh.,113,3.092685274,3.745814,11.84665429,beta-control-neural-D.113,torontoadv.6.012708
The seemingly impossible can be attained.,114,2.293904739,4.5935388,11.21807857,beta-control-neural-D.114,torontoadv.6.001173
He stopped at the bedroom door.,115,1.883846632,4.1336465,9.654152857,beta-control-neural-D.115,torontoadv.6.032436
She was inside a magnificent castle.,116,2.763420454,5.2508173,10.87130857,beta-control-neural-D.116,torontoadv.6.020579
"Besides, it would be terribly unsafe.",117,2.896268598,4.221952,8.23904375,beta-control-neural-D.117,torontoadv.6.040970
Her wrist supported many gold bangles.,118,3.323355777,6.5894213,12.61528,beta-control-neural-D.118,torontoadv.6.016434
I feel the same way sometimes.,119,1.821495733,3.372535,9.639512857,beta-control-neural-D.119,torontoadv.6.017768
People need to respect the law.,120,1.88805489,3.7600586,8.91803,beta-control-neural-D.120,torontoadv.6.056100
The hairs on my skin rose.,121,2.760726013,4.6609235,11.46303286,beta-control-neural-D.121,torontoadv.6.024252
A large band played folk tunes.,122,2.576071126,5.7007666,11.70929286,beta-control-neural-D.122,torontoadv.6.035525
Your leg muscles will also ache.,123,3.457685981,4.6077886,12.78606,beta-control-neural-D.123,torontoadv.6.045369
"After that, no others remained intact.",124,2.348623621,5.3531094,8.66051125,beta-control-neural-D.124,torontoadv.6.009499
Many soldiers served in his army.,125,2.111670958,4.9290447,9.997928571,beta-control-neural-D.125,torontoadv.6.035997
It seemed to calm his anxiety.,126,2.424654399,4.6030445,8.987004286,beta-control-neural-D.126,torontoadv.6.013515
I need it to impress her.,127,2.100327287,4.31933,9.147645714,beta-control-neural-D.127,torontoadv.6.049998
My assistant is bringing them out.,128,2.749751151,5.0568953,10.28256857,beta-control-neural-D.128,torontoadv.6.025181
"Read me the book, then decide.",129,3.057970898,4.4232554,11.9816125,beta-control-neural-D.129,torontoadv.6.033455
Each has its own elected officials.,130,1.585467616,4.7996507,9.836592857,beta-control-neural-D.130,torontoadv.6.032453
A voice came over his radio.,131,2.283272249,3.958069,10.12560714,beta-control-neural-D.131,torontoadv.6.037236
What help can you possibly need?,132,3.250577552,3.8991668,11.27422571,beta-control-neural-D.132,torontoadv.6.015974
He was bleeding from the stomach.,133,2.086525608,3.8812304,8.953127143,beta-control-neural-D.133,torontoadv.6.051267
She was wearing a long dress.,134,1.578397609,3.6103275,9.273374286,beta-control-neural-D.134,torontoadv.6.061383
A photo appears on the screen.,135,1.989909168,3.5503957,9.958495714,beta-control-neural-D.135,torontoadv.6.055649
The liquid was indeed fresh water.,136,2.544897514,5.3709598,11.11135286,beta-control-neural-D.136,torontoadv.6.033832
This is the force field parameter.,137,2.437614347,5.0827312,10.37265429,beta-control-neural-D.137,torontoadv.6.057428
There is no brain function left.,138,2.250299522,4.3344626,10.75405429,beta-control-neural-D.138,torontoadv.6.036944
Many villages survive along the coast.,139,2.474306038,5.6952953,11.14911143,beta-control-neural-D.139,torontoadv.6.038366
Consequences to us could prove fatal.,140,2.711157995,4.8564363,10.58769857,beta-control-neural-D.140,torontoadv.6.027274
The pastor proclaimed to the congregation.,141,2.565864767,4.908933,11.17165571,beta-control-neural-D.141,torontoadv.6.017864
Their relationship took off from there.,142,1.909145372,3.6304965,9.223745714,beta-control-neural-D.142,torontoadv.6.043430
I can see the oak tree.,143,1.886925374,3.9967194,9.007714286,beta-control-neural-D.143,torontoadv.6.062055
I studied and became a lawyer.,144,2.124424824,3.8366172,8.697185714,beta-control-neural-D.144,torontoadv.6.044155
He inspected it with obvious satisfaction.,145,2.984470793,5.2777586,10.17863429,beta-control-neural-D.145,torontoadv.6.056316
They finished eating their chicken dumplings.,146,3.30754384,4.6513257,11.96881286,beta-control-neural-D.146,torontoadv.6.056128
His stomach pains worsened with time.,147,2.609679656,5.2154803,13.37107143,beta-control-neural-D.147,torontoadv.6.004446
"That warrior is you, my son.",148,2.786960942,4.2824864,10.2946675,beta-control-neural-D.148,torontoadv.6.048049
I could not escape this obligation.,149,2.107713486,4.7179213,8.919788571,beta-control-neural-D.149,torontoadv.6.003488
The sky was bright and blue.,150,2.468608405,3.2507532,8.826784286,beta-control-neural-D.150,torontoadv.6.025947
Why had the disease spared them?,151,3.103144646,5.642886,11.14602286,beta-control-neural-D.151,torontoadv.6.052108
Her energy level was too low.,152,2.262091798,4.2640324,9.079545714,beta-control-neural-D.152,torontoadv.6.039900
He seemed extremely pleased with himself.,153,2.508398333,3.7311347,9.861257143,beta-control-neural-D.153,torontoadv.6.009233
Spray and vapor filled the void.,154,2.856028378,5.6175904,13.37357,beta-control-neural-D.154,torontoadv.6.018900
He'd come because he had news.,155,2.417131059,4.328635,9.4742625,beta-control-neural-D.155,torontoadv.6.061694
I get paid no matter what.,156,1.989922013,3.4946966,11.43235714,beta-control-neural-D.156,torontoadv.6.059233
The great wheel began to turn.,157,2.436209406,4.342199,9.477462857,beta-control-neural-D.157,torontoadv.6.006047
His pants were clean white jeans.,158,3.247562766,5.3530736,13.17118,beta-control-neural-D.158,torontoadv.6.050149
It was wrapped in the plastic.,159,2.090848097,4.7188954,8.710395714,beta-control-neural-D.159,torontoadv.6.033874
It almost seemed like a toy.,160,1.968341053,3.9988437,10.09408286,beta-control-neural-D.160,torontoadv.6.059288
Her only plan was to delay.,161,2.464415193,5.1908364,10.80642429,beta-control-neural-D.161,torontoadv.6.016971
A wooden table lay between them.,162,2.349878975,5.0127583,10.81747857,beta-control-neural-D.162,torontoadv.6.004720
He pulled up on the knob.,163,2.438555368,4.9231143,9.497994286,beta-control-neural-D.163,torontoadv.6.002530
You take me for a liar?,164,2.304817157,3.6944356,10.91621571,beta-control-neural-D.164,torontoadv.6.050700
She grinned at the blonde girl.,165,2.742446389,4.354489,10.97206429,beta-control-neural-D.165,torontoadv.6.010049
But her eyes betrayed the truth.,166,2.610373684,4.317658,9.719687143,beta-control-neural-D.166,torontoadv.6.041682
The boat was ready to sail.,167,1.65588341,3.8795831,8.800462714,beta-control-neural-D.167,torontoadv.6.004422
I like the openness and beauty.,168,2.209098033,4.860773,10.85486429,beta-control-neural-D.168,torontoadv.6.057475
The next house is kilometres away.,169,2.657033741,5.1483536,9.911735714,beta-control-neural-D.169,torontoadv.6.040118
He could not say a word.,170,1.466812359,3.5287173,7.328581429,beta-control-neural-D.170,torontoadv.6.053730
I saw the good guys win.,171,2.055262566,4.01992,8.97898,beta-control-neural-D.171,torontoadv.6.054465
You connect it to a computer.,172,2.385156316,4.168246,8.945642857,beta-control-neural-D.172,torontoadv.6.061104
I dared him to do it.,173,2.05097276,3.4270546,9.117355714,beta-control-neural-D.173,torontoadv.6.000828
Then she smiled faintly and nodded.,174,3.64897573,4.341593,12.67738143,beta-control-neural-D.174,torontoadv.6.050966
Are they going to expel her?,175,2.161663356,4.1977696,11.14387286,beta-control-neural-D.175,torontoadv.6.035063
So he continued in his ignorance.,176,2.238668229,4.9459186,8.232988571,beta-control-neural-D.176,torontoadv.6.018314
Now he must find the key.,177,2.240191426,4.457615,8.020478571,beta-control-neural-D.177,torontoadv.6.031046
They glared at one another heatedly.,178,3.297298874,3.9856048,11.61016857,beta-control-neural-D.178,torontoadv.6.045991
Savanah ordered a fried shrimp dinner.,179,2.915110568,5.5713463,12.93831286,beta-control-neural-D.179,torontofantasy.6.376135
If only to collect her belongings.,180,2.396818331,5.0672255,12.14496,beta-control-neural-D.180,torontofantasy.6.134644
"Back to your cage, little bird.",181,3.08383739,4.702037,11.83397375,beta-control-neural-D.181,torontofantasy.6.462187
The hesitant rhythm of the band.,182,2.570900534,5.503108,11.76630286,beta-control-neural-D.182,torontofantasy.6.364346
Ruthless... merciless... devoted to our cause.,183,2.981359759,4.2197795,12.47823667,beta-control-neural-D.183,torontofantasy.6.309133
What about being amazing and wonderful?,184,2.798657571,5.097579,11.43744857,beta-control-neural-D.184,torontofantasy.6.275365
Long after the flu epidemic ended.,185,2.554041462,5.153865,12.66743857,beta-control-neural-D.185,torontofantasy.6.300529
Faint bitterness and a relaxing flavor.,186,3.664135439,5.4792957,13.39529143,beta-control-neural-D.186,torontofantasy.6.203782
Their stay was tranquil and pleasant.,187,2.962169937,5.340479,11.21601,beta-control-neural-D.187,torontofantasy.6.005982
Headed into the town's only bar.,188,2.378925413,4.799985,11.42727125,beta-control-neural-D.188,torontofantasy.6.432850
The one in jail for murder.,189,1.964796833,4.3498855,11.03392429,beta-control-neural-D.189,torontofantasy.6.428643
To guard and keep and protect.,190,2.859550612,5.602151,12.63100429,beta-control-neural-D.190,torontofantasy.6.103616
"Scary and freaky sometimes, but awesome.",191,3.814594303,4.0616384,12.9072025,beta-control-neural-D.191,torontofantasy.6.456598
That seemed like an absurd contradiction!,192,2.665497192,4.9512334,12.59779286,beta-control-neural-D.192,torontofantasy.6.076648
Will you sleep on the couch?,193,1.842194008,3.7518609,11.44771143,beta-control-neural-D.193,torontofantasy.6.219958
That is terribly difficult to overcome!,194,2.380526253,5.204557,9.349214286,beta-control-neural-D.194,torontofantasy.6.083802
Put the white flag out first.,195,2.741351528,5.376158,11.17345429,beta-control-neural-D.195,torontofantasy.6.166572
The crowd burst into sudden cacophony.,196,3.002276378,4.120101,11.99578429,beta-control-neural-D.196,torontofantasy.6.355686
He's too badly damaged and malnourished.,197,2.299024131,3.810765,9.2381625,beta-control-neural-D.197,torontofantasy.6.373075
Or a cat and a dog.,198,1.774055558,4.0199404,11.77081143,beta-control-neural-D.198,torontofantasy.6.481974
"It smelled bad, like rotten garbage.",199,3.828436494,4.180575,12.23902375,beta-control-neural-D.199,torontofantasy.6.280474
Down by the abandoned train station.,200,2.259578288,4.478745,11.53572429,beta-control-neural-D.200,torontofantasy.6.363926
You have the poor girl terrified.,201,2.752128499,5.575306,10.93868,beta-control-neural-D.201,torontofantasy.6.304788
He handed her the leather bag.,202,2.834857881,4.5519514,11.57510429,beta-control-neural-D.202,torontofantasy.6.085809
Her life was a horror film.,203,1.81908593,4.200053,9.93378,beta-control-neural-D.203,torontofantasy.6.409281
You wouldn't eat your fancy food.,204,2.650011002,4.993436,9.991095,beta-control-neural-D.204,torontofantasy.6.476298
"Would you like a drink, then?",205,2.459579834,3.45429,10.78520125,beta-control-neural-D.205,torontofantasy.6.239073
"One, two, three, four, five, six-",206,1.668746139,1.9329304,17.75512455,beta-control-neural-D.206,torontofantasy.6.284565
My marriage was because of them.,207,2.440783884,4.9176245,9.468978571,beta-control-neural-D.207,torontofantasy.6.318499
They taught her humility and compassion.,208,2.28863932,4.663374,11.93734286,beta-control-neural-D.208,torontofantasy.6.282971
Mom was stirring a sauce pan.,209,3.276362981,6.008979,12.69154714,beta-control-neural-D.209,torontofantasy.6.481281
Enough of all this tedious self-justification.,210,3.132413395,3.6456215,13.28546857,beta-control-neural-D.210,torontofantasy.6.410492
She's using dancing moves to fight.,211,2.595256597,5.716858,10.15023,beta-control-neural-D.211,torontofantasy.6.034279
Was that demon or elven magic?,212,3.629658069,5.5807457,14.26527714,beta-control-neural-D.212,torontofantasy.6.259381
"It was unheard of, unthinkable, impossible.",213,2.79764905,3.7502742,9.661823556,beta-control-neural-D.213,torontofantasy.6.375358
And beautiful and smart and witty.,214,2.480798866,4.9282928,12.38612429,beta-control-neural-D.214,torontofantasy.6.213329
"Both mentally and physically, you're attracted.",215,2.483899971,4.7219396,10.93701111,beta-control-neural-D.215,torontofantasy.6.420693
Perhaps he'd put down rat poison?,216,2.707006238,5.7236395,11.46941375,beta-control-neural-D.216,torontofantasy.6.144008
Something small and wrapped in fabric.,217,2.507395463,5.0000014,13.339,beta-control-neural-D.217,torontofantasy.6.362024
"A little scary, but not surprising.",218,2.109345875,3.6486938,11.576295,beta-control-neural-D.218,torontofantasy.6.394874
Of the Earth and the Moon.,219,1.379837896,4.270468,13.98057429,beta-control-neural-D.219,torontofantasy.6.079499
He felt more embarrassed than frightened.,220,2.780127329,4.570631,10.07666571,beta-control-neural-D.220,torontofantasy.6.079182
"A test was necessary, she decided.",221,2.91705249,4.427833,9.2352475,beta-control-neural-D.221,torontofantasy.6.185881
You may climb on the mountain.,222,2.228797576,4.684584,8.511872857,beta-control-neural-D.222,torontofantasy.6.083211
I fell into the cow pasture.,223,2.316659101,4.58012,10.06268571,beta-control-neural-D.223,torontofantasy.6.152873
He encouraged hostility and eventually war.,224,2.975131427,6.1052065,12.50172571,beta-control-neural-D.224,torontofantasy.6.004658
The inside was circular in shape.,225,1.992870101,4.995891,10.74759286,beta-control-neural-D.225,torontofantasy.6.041006
It will only fuel the fire.,226,2.325363585,4.005423,8.783432857,beta-control-neural-D.226,torontofantasy.6.395623
That would be simple and effective.,227,1.944265165,3.8615289,7.388728571,beta-control-neural-D.227,torontofantasy.6.110902
"Most of all, it was huge.",228,1.961894367,3.482253,8.14568875,beta-control-neural-D.228,torontofantasy.6.227402
The neatly trimmed beard and moustache.,229,2.219260965,3.836072,13.15929286,beta-control-neural-D.229,torontofantasy.6.364562
Of what crime is he accused?,230,3.191823874,4.4917927,11.11392429,beta-control-neural-D.230,torontofantasy.6.483842
He turned to leave then stopped.,231,2.422616669,4.2429204,10.19380429,beta-control-neural-D.231,torontofantasy.6.023436
He was underground in a cave.,232,2.305360683,4.329487,9.973,beta-control-neural-D.232,torontofantasy.6.427221
She lifted her gun and fired.,233,2.484653584,3.845717,12.49191286,beta-control-neural-D.233,torontofantasy.6.437823
You have nothing but circumstantial evidence.,234,2.30992482,3.738511,11.14187286,beta-control-neural-D.234,torontofantasy.6.185346
The promise of big business profits.,235,2.515497359,4.9392443,10.00389714,beta-control-neural-D.235,torontofantasy.6.347383
You may dive in the sea.,236,2.262978486,4.8816547,9.429094286,beta-control-neural-D.236,torontofantasy.6.083212
A shower and clean clothes helped.,237,2.575139804,5.5374656,11.60481857,beta-control-neural-D.237,torontofantasy.6.311179
He understood the science behind it.,238,1.873254167,4.0374556,9.708164286,beta-control-neural-D.238,torontofantasy.6.346766
A tall man with sun-streaked hair.,239,2.946941353,3.352728,13.15082714,beta-control-neural-D.239,torontofantasy.6.212443
Hunt more than rabbits or deer.,240,3.1212637,5.676098,13.33154286,beta-control-neural-D.240,torontofantasy.6.334772
Knocked him out with one punch.,241,2.067992168,3.8639474,12.86864857,beta-control-neural-D.241,torontofantasy.6.044560
The economy everywhere was in crisis.,242,2.710723681,4.859787,9.949112857,beta-control-neural-D.242,torontofantasy.6.458969
"On the surface, it made sense.",243,1.678730002,2.7258093,7.9731275,beta-control-neural-D.243,torontofantasy.6.339885
I have chocolate peanut butter brownies.,244,3.388625937,3.7091272,12.76771143,beta-control-neural-D.244,torontofantasy.6.325106
The wind blew cold and colder.,245,2.809588168,4.51367,11.03714714,beta-control-neural-D.245,torontofantasy.6.464580
A king must have an heir.,246,2.437942241,4.0414066,9.7905,beta-control-neural-D.246,torontofantasy.6.463570
"He spoke baldly, with no pride.",247,3.425457001,4.7003417,10.12222125,beta-control-neural-D.247,torontofantasy.6.017148
Just peanut butter and hot cocoa.,248,2.776046434,5.21477,13.2249,beta-control-neural-D.248,torontofantasy.6.106669
