,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,5519,abstract,0.5397821157000344,0.7491699580423878,0.5603409725563173,0.7777038376957479,0.720506888864721,9,81,33.8,17.747112441183212,460.0,100.0,8.667701134527375,0.0843603454182365,0.5874078951647311,STGa,0.07519945433640718,0.10437020866642438,p7
1,28365,abstract,0.5080628331589893,0.7895652724178446,0.5235491691732547,0.8136321246176618,0.6434716050810783,10,83,35.8,15.07846145997661,64.0,100.0,9.00607843142621,0.0223919530319872,0.5873304764756573,STGa,0.06970043134699377,0.10831935830052894,p7
2,28366,abstract,0.5656815137656184,0.7653091275892998,0.5733792354897083,0.7757233563624347,0.7391542755376481,12,72,33.6,9.264987857520376,262.0,100.0,10.48004648439259,0.0420356690945541,0.633548175213515,STGa,0.045831979401662504,0.062005972120400855,p7
3,28367,abstract,0.3998071296717468,0.5917370714111635,0.41271298885977326,0.6108384699435951,0.6756499617613855,6,32,17.0,3.3466401061363023,640.0,1000.0,8.070911054396825,0.0843222206726696,0.5099480060433296,STGa,0.07824356903833085,0.11580488931628709,p7
4,40093,abstract,0.5521427016320491,0.8525156915941331,0.5621912971090269,0.8680308569622234,0.647662802076509,8,76,28.6,18.7040102651811,280.0,100.0,10.727128401222735,0.0673835546379028,0.5545143314608073,STGa,0.053001946743472694,0.08183571230822599,p7
5,62635,abstract,0.5361387803321607,0.7413830505475729,0.5496840501032798,0.7601137109508002,0.7231602879728336,12,53,26.6,6.8,442.0,100.0,9.226470540562982,0.0990338104795178,0.6195332249774052,STGa,0.06313730466432721,0.08730748316021888,p7
6,62637,abstract,0.44993730980438984,0.6744790585084627,0.46365040510091654,0.6950356902953648,0.6670886280730159,10,40,20.4,6.6513156593263565,820.0,1000.0,8.81429403867201,0.0836788221490204,0.504759261781234,STGa,0.0731735359921945,0.10969087601383204,p7
7,89986,abstract,0.5815272984640909,0.8019794703982347,0.591928905654496,0.8163242405369432,0.7251149436223411,9,53,25.8,8.37615663654877,280.0,100.0,10.486691551971637,0.0389641718669514,0.6038213471476762,STGa,0.05115621561757888,0.07054911234076343,p7
8,89987,abstract,0.510631618358929,0.8486759541179254,0.5264341518155324,0.8749399567307374,0.6016803184787484,8,60,24.4,10.68831137270991,262.0,100.0,8.75058796570613,0.0166477394880213,0.5409717464389066,STGa,0.07110712520004459,0.11818090606624375,p7
9,89988,abstract,0.569778216682938,0.8549320501199061,0.5788694103457428,0.8685730644805933,0.6664602369311402,7,107,38.0,28.128277586798664,82.0,100.0,9.631164107212348,0.0850179648546918,0.5757319126214058,STGa,0.04905334861007404,0.07360281362913826,p7
10,96777,abstract,0.49082849696586184,0.8383678605667052,0.4948674748119285,0.8452667045348433,0.5854571961216168,9,142,56.0,25.479403446705735,82.0,100.0,9.375852931812409,-0.0112611203312562,0.5088231889007143,PHT,0.03885877297843332,0.06637338004529575,p7
11,96778,abstract,0.3948784939732231,0.6466967102228912,0.402439648176983,0.6590796928965212,0.6106084780253851,6,72,27.0,15.362291495737216,460.0,100.0,9.600047510012493,0.0513725245117247,0.5135214606414201,PHT,0.06089379596062239,0.09972641742142797,p7
12,96779,abstract,0.5059341507507227,0.8883877568569712,0.5135539257893156,0.901767590663892,0.5694969869245701,12,128,58.2,18.17030544597421,100.0,100.0,9.147388952543531,-0.0057960160533768,0.5279220774266313,PHT,0.051699618318734375,0.09078119727713677,p7
