,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,1226,abstract,0.37044443694643137,0.5385229808491403,0.37492794944004637,0.5450407586099251,0.6878897468076784,6,100,35.4,23.397435756937124,82.0,100.0,8.194914073414717,0.0939742120591077,0.3985097016133222,TPOJ1,0.05054499752172231,0.07347834119681068,p8
1,5134,abstract,0.24819518070126242,0.40359093096284493,0.2518376353418214,0.4095139374258212,0.6149671899443934,7,85,30.0,20.774984957876626,64.0,100.0,2.462867408638188,0.085132621733357,0.4065945723742594,STSvp,0.05909182952726533,0.09608940199331371,p8
2,5527,abstract,0.4635172689920487,0.749690185917206,0.46526102579816053,0.7525105282250798,0.618278427141153,6,49,20.6,8.777243302996677,100.0,100.0,-1.0377587022587234,-0.0268359066919804,0.5000536149367895,TGd,0.026839820530199787,0.043410572570522915,p8
3,12815,abstract,0.22228595088451178,0.34137485051371463,0.22362606551599434,0.34343292674468295,0.6511491709187333,6,58,23.6,10.170545708072897,100.0,100.0,1.949806592226468,0.0493568502920965,0.3655917426207239,STSvp,0.03966366776822755,0.06091333528423978,p8
4,21115,abstract,0.2964317130132884,0.4940578205688447,0.29809949661376944,0.49683748784013015,0.5999939696774459,8,69,31.2,8.908422980528035,100.0,100.0,7.840704662706588,0.0964236319118001,0.3660983913594158,TPOJ2,0.036595856243022806,0.06099370675791388,p8
5,51835,abstract,0.42373387581117994,0.6533327207319254,0.4270339404931185,0.658420914903597,0.648572867032395,11,93,37.4,20.828826179120128,100.0,100.0,9.28519527006462,0.1037311394013965,0.4069867887117794,TPOJ1,0.039197661599415345,0.060436789128672404,p8
6,53060,abstract,0.34466025477966045,0.515144050402484,0.3452493527390465,0.5160245415663868,0.6690560718121001,5,146,45.6,41.62499249249182,64.0,100.0,2.3390138809791003,0.1027523990801522,0.4831505098610848,TGd,0.019092349018050403,0.028536246545584537,p8
7,61486,abstract,0.16958631951637432,0.26925733211572433,0.17100629815920856,0.2715118751833563,0.6298299035492473,6,75,28.4,16.71645895517349,64.0,100.0,1.807941436354122,0.0778406501634052,0.3816938140413606,STSvp,0.04618243108858461,0.07332524357502745,p8
8,61487,abstract,0.2678679692708645,0.39954182983445,0.2719344282191277,0.40560720769040737,0.6704378597401315,4,92,31.8,22.139557357815445,82.0,100.0,2.4270459514323544,0.0847348844507347,0.35550816905696,STSvp,0.06313117253113232,0.09416409233751,p8
9,96794,abstract,0.306609902360928,0.4875564130266863,0.3123674995099955,0.49671186884215945,0.6288706171610664,8,125,50.2,21.876014262200506,64.0,100.0,1.6138506603203906,0.04551260132336,0.3992838749081139,STSvp,0.06313287854694716,0.10039088617615849,p8
10,96795,abstract,0.2631957858368902,0.3961248433513801,0.26470222279625766,0.3983921178924626,0.6644263551110425,5,130,54.0,19.71801207018598,100.0,100.0,1.5122371535383183,0.043943445375286,0.4056588837226125,STSvp,0.036281448351815904,0.05460567310842501,p8
11,96796,abstract,0.2969712068785998,0.44701190179813804,0.30005355844405945,0.45165156989852007,0.6643474271803758,6,108,40.8,23.844496220302076,82.0,100.0,1.288983792200808,0.0403383249959594,0.3713300378222888,STSvp,0.04827761988816898,0.07266923587417042,p8
12,96797,abstract,0.3381568041194113,0.49902754096440277,0.34067919956260995,0.5027499111193878,0.6776315460784019,6,94,39.0,15.349267083479914,100.0,100.0,2.0351274892252262,0.0466420218897366,0.3596082431594861,STSvp,0.03981948793585777,0.05876274232848459,p8
13,113917,abstract,0.3753568581210277,0.610170270536858,0.37674260034396806,0.6124228967744562,0.6151673987504671,4,90,34.8,20.75957610357206,64.0,100.0,2.8188537431669305,-0.0678304296838318,0.3617314490977478,TGd,0.028257397393433248,0.045934484582294016,p8
14,113937,abstract,0.4511260041196943,0.6880846865165978,0.4526277895461814,0.6903753005467422,0.655625699800852,6,52,25.6,7.735631842325487,82.0,100.0,1.8236368807602208,0.0199303738564755,0.5480018987664356,TGd,0.02567018627592149,0.039153721832013114,p8
15,113939,abstract,0.32330759719282726,0.4511140862928327,0.3295660376784612,0.45984654629627325,0.7166869911992902,5,88,34.8,16.191355718407276,64.0,100.0,0.0327900199471305,0.0719574911910747,0.5119557953786258,TGd,0.06479301132047938,0.0904062890998705,p8
16,125943,abstract,0.352675036535968,0.5407365258892106,0.3530738624925768,0.5413480229895705,0.6522123430741318,12,148,65.4,21.17167919651155,64.0,100.0,6.002327764757422,0.0471803529480337,0.4244779434343555,TPOJ2,0.015547906200137906,0.02383871811878712,p8
17,135424,abstract,0.20639230726428281,0.34514174405480286,0.20983590397556978,0.3509003354989746,0.597992885008749,3,90,34.0,21.419617176784463,244.0,100.0,3.933923712385324,0.0905459846133099,0.436830966989025,STSdp,0.06863454713896733,0.11477485578772925,p8
18,161298,abstract,0.30085328513334375,0.48454066756266967,0.3013165283203517,0.4852867460473278,0.6209040959279891,2,37,16.0,7.014271166700073,280.0,100.0,3.792962947503303,0.0151250131934636,0.4023563293339589,TGd,0.018649734809466467,0.0300364177523954,p8
