,neuroid_id,parc_lang,parc_glasser,parc_name_glasser,tstat_langloc_SN,top10_tstat_langloc_SN_parc_lang_int,ncsnr,nc,corr_SentPC1,corr_SentPC2
6686,6686,2,74,44,6.1561806631030604,2,0.4527252022933308,38.07590669922962,0.5307059996458385,0.3712756439074749
6778,6778,5,25,PSL,9.922370358232977,5,0.477961219422525,40.66481919919427,0.3787669687230196,0.6018281166840342
6781,6781,5,25,PSL,8.910285531608464,5,0.5770065585520632,49.97022492535839,0.6153100783302224,0.3586791215744324
6821,6821,5,139,TPOJ1,8.721410290304227,5,0.6665845331771069,57.1368223677328,0.4068665401386685,-0.3548760902519252
6822,6822,5,137,PHT,11.968945028044107,5,0.5693439945055245,49.301829209517365,0.484573549963443,-0.0848244015790025
6823,6823,5,137,PHT,10.920195068887123,5,0.5913920738613209,51.20127230375699,0.3365328980656686,-0.1041648033585677
6824,6824,5,130,STSvp,12.633578691287138,5,0.4041306380200473,32.88431678410842,0.5589650979526515,0.2145198462340639
6825,6825,5,129,STSdp,20.509440868024345,5,0.4600429373871806,38.83487206119962,0.3915405975120376,0.6013760540528448
6827,6827,5,129,STSdp,13.074788017647403,5,0.4793975418341571,40.809699960474624,0.2996879405521155,0.5190678654482843
7640,7640,2,81,IFSp,7.862595463681459,2,0.4867696447054766,41.548977613658906,0.2128099230604287,-0.0935035314328508
7745,7745,5,139,TPOJ1,12.101241870856668,5,0.5739287871430965,49.70281298796571,0.4113017481588494,0.1317922695488672
7915,7915,4,125,A5,6.572432213434506,4,0.6359744528161139,54.820444303971016,0.2664466164320827,0.6333157665945822
7923,7923,4,128,STSda,6.746353340215276,4,0.5514286385700938,47.70477924191831,0.1655341865332739,0.5147583372825135
8654,8654,3,73,8C,9.4266624528574,3,0.4724459147031922,40.10596788619444,0.1676972473450789,0.5376864701351045
8659,8659,3,80,IFJp,8.653113010029292,3,0.457576993666013,38.57984748620719,0.4680496617867566,0.4305757052495189
8660,8660,3,73,8C,9.204924802081312,3,0.4202074397987269,34.6286824376705,0.4400848639303249,0.5452343185232954
9232,9232,2,75,45,5.636083022750792,2,0.4385542403288377,36.588035487174544,0.4408133124165601,0.4205906981186406
9249,9249,1,75,45,6.5982393397759,1,0.4265424710494915,35.30922418792696,0.28568860086393,0.5009712177808693
9252,9252,1,75,45,7.702765373487093,1,0.4153148032416539,34.1003680303402,0.6043143351264619,0.2522891041316463
9397,9397,5,25,PSL,9.483425429227472,5,0.5690936639005646,49.27984467260583,0.2969094371145463,0.6153076156314301
9489,9489,5,130,STSvp,9.483068401239754,5,0.455608424792944,38.3757237264291,0.3388021673384993,0.2799792527244438
9495,9495,5,129,STSdp,13.769566678278776,5,0.6232768885553637,53.81963010285556,0.4901180635582717,0.3815883929316797
9496,9496,5,129,STSdp,17.676001892984264,5,0.715401842030752,60.5584822166965,0.4926024001755074,0.637360302012477
9497,9497,5,129,STSdp,12.050786532251768,5,0.5806088143488769,50.28140194259978,0.0960510422006646,0.6445371203190423
9498,9498,5,129,STSdp,12.803578490785888,5,0.6397471008954484,55.113252705813785,0.1845716217710992,0.6478231598363364
9499,9499,5,129,STSdp,11.607273137999476,5,0.5273694230532008,45.48494082478171,0.1179105914276071,0.6064045719530639
9500,9500,5,129,STSdp,11.532365105573549,5,0.5651114173410072,48.92885270472645,0.1340159302403895,0.6011433129854835
9952,9952,4,123,STGa,6.513378147146055,4,0.4292140225534714,35.594981320483186,0.2175017238314591,0.5752655257830175
10763,10763,1,75,45,9.671441701114563,1,0.4148202896271131,34.04684177431268,0.3232189196829357,0.6427549091145233
10825,10825,5,139,TPOJ1,12.82744296512571,5,0.4840513097729434,41.27723234547626,0.4103356725608032,0.2726936851181972
10827,10827,5,139,TPOJ1,12.201237583290114,5,0.4794419072058085,40.81417070188749,0.2914890467071006,0.3421765476911582
10829,10829,5,139,TPOJ1,8.68372140464911,5,0.5863169478578893,50.77050776798843,0.2868083576519332,0.282000150715372
10830,10830,5,139,TPOJ1,9.974141726297846,5,0.4744365917201538,40.30813794062885,0.4382752445621437,0.412347147784915
10952,10952,4,125,A5,6.35892124065623,4,0.47482033726154,40.3470510037202,-0.0056333060869883,0.3177228040733678
11432,11432,5,28,STV,8.463480397002359,5,0.4153477428493386,34.10393259742401,0.1705847064520827,0.1994994810652431
12110,12110,3,79,IFJa,8.406318977858938,3,0.5129385347774148,44.11277929208658,0.5443919708201492,0.3425064916975787
12111,12111,3,79,IFJa,9.312359064384376,3,0.5473289108830078,47.3325742184654,0.5545303315305177,0.3206810729690291
12112,12112,3,79,IFJa,9.430514657445428,3,0.4614304652929362,38.97803672905087,0.4448458083240997,0.3718522634944624
12115,12115,3,12,55b,16.37334833356013,3,0.6250868690947465,53.96373998184831,0.6050466457955928,0.4478277191629175
12116,12116,3,11,PEF,14.452890625429148,3,0.6435312732596821,55.40487355829855,0.6102950127905635,0.3425659346651097
12117,12117,3,12,55b,18.48015019640023,3,0.7155950513395595,60.57138113155536,0.6006406955526973,0.3573463603255035
12630,12630,4,125,A5,5.231491150540469,4,0.5822945502459427,50.426353922841805,0.1904363268447676,0.6496771340628286
12740,12740,5,25,PSL,10.221319350515756,5,0.464565463099133,39.300617165085306,0.5272974118358532,0.2596962833751775
12742,12742,5,28,STV,9.346106480244623,5,0.5329540437500468,46.00781918294942,0.5170969852935285,0.3042310371603188
12744,12744,5,28,STV,11.409325734915791,5,0.5965069971995322,51.631512450396265,0.5472452510640482,0.2484578878074362
