,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,5519,abstract,0.4781715192899087,0.6636598853945003,0.4957593391945168,0.688070227858152,0.720506888864721,5,181,57.2,32.42468195680568,82.0,100.0,8.667701134527375,0.0843603454182365,0.5874078951647311,STGa,0.0791535329024518,0.1098581208948209,p7
1,28365,abstract,0.5685236398997202,0.8835256061191472,0.5954610556679812,0.9253882393038189,0.6434716050810783,8,180,62.6,16.918628786045282,100.0,100.0,9.00607843142621,0.0223919530319872,0.5873304764756573,STGa,0.08103961893934852,0.12594125101936304,p7
2,28366,abstract,0.5837529876330259,0.7897579801028871,0.6059194696498574,0.8197469590622635,0.7391542755376481,9,145,54.6,13.54400236266961,100.0,100.0,10.48004648439259,0.0420356690945541,0.633548175213515,STGa,0.07139949345132024,0.09659619894559289,p7
3,28367,abstract,0.3732434977013429,0.5524213998744496,0.379642331624508,0.5618920345008228,0.6756499617613855,3,113,37.2,14.688771221582833,82.0,100.0,8.070911054396825,0.0843222206726696,0.5099480060433296,STGa,0.05852998134861481,0.08662766914991026,p7
4,40093,abstract,0.4478477522513268,0.6914828994585707,0.45189368732134716,0.6977298771405503,0.647662802076509,7,266,86.8,28.22339455132922,64.0,100.0,10.727128401222735,0.0673835546379028,0.5545143314608073,STGa,0.041285413696501405,0.06374522909781737,p7
5,62635,abstract,0.5809805504455643,0.8033911155079765,0.5950324352866253,0.8228223330053467,0.7231602879728336,9,106,41.2,3.1874754901018454,100.0,100.0,9.226470540562982,0.0990338104795178,0.6195332249774052,STGa,0.05879056052017673,0.08129672148477443,p7
6,62637,abstract,0.33606044367609467,0.5037718071238224,0.35579589898924374,0.5333562648444672,0.6670886280730159,7,214,68.4,23.482759633399137,64.0,100.0,8.81429403867201,0.0836788221490204,0.504759261781234,STGa,0.10782701233423664,0.1616382108711865,p7
7,89986,abstract,0.5621056036645591,0.775195172308183,0.5753481376132883,0.7934578409584463,0.7251149436223411,3,139,50.2,11.070682002478437,100.0,100.0,10.486691551971637,0.0389641718669514,0.6038213471476762,STGa,0.059433535839855334,0.08196429595417341,p7
8,89987,abstract,0.5393427158718928,0.8963941470373068,0.5519830034121804,0.9174024585144823,0.6016803184787484,7,183,64.4,23.728463919942225,82.0,100.0,8.75058796570613,0.0166477394880213,0.5409717464389066,STGa,0.060523170433754325,0.10059024464482634,p7
9,89988,abstract,0.4390873786812527,0.658835072746613,0.44677438452009116,0.670369152970566,0.6664602369311402,6,266,81.6,33.72595439717014,64.0,100.0,9.631164107212348,0.0850179648546918,0.5757319126214058,STGa,0.05697844307883976,0.08549413741652358,p7
10,96777,abstract,0.4744445040369486,0.8103829061798609,0.4777575905487264,0.8160418792588928,0.5854571961216168,5,157,50.2,22.85957129956728,82.0,100.0,9.375852931812409,-0.0112611203312562,0.5088231889007143,PHT,0.035642532743454136,0.060879826876447045,p7
11,96778,abstract,0.4602577961877558,0.7537690889523176,0.46646251336306244,0.7639306202749284,0.6106084780253851,5,94,33.0,12.457929201917949,100.0,100.0,9.600047510012493,0.0513725245117247,0.5135214606414201,PHT,0.050563529872042046,0.08280843075673762,p7
