neuroid_id,parc_lang,parc_glasser,parc_name_glasser,tstat_langloc_SN,top10_tstat_langloc_SN_parc_lang_int,ncsnr,nc,visfAtlas_name,corr_SentPC1,corr_SentPC2
98362,0,97,i6-8,0.7001742047673529,0,0.4192861415233802,34.52937709736522,,-0.0170133184879428,0.0001745678871543
32522,0,46,7PL,0.005479767764058,0,0.4188100799167487,34.47803049498329,,0.0116484116308248,0.0103537679588885
4952,0,175,A4,-1.6869897286878532,0,0.4101137139378638,33.53625932217437,,0.023459584981813,-0.0003746314318478
69802,4,132,TE1a,-0.3669753017368722,0,0.4014073561298217,32.586553993992624,,0.0088468358523803,0.0164196707740104
71426,0,50,MIP,0.344113407196206,0,0.4284085274101884,35.508901796719414,,0.0245980223820535,-0.0050260512539815
138811,0,46,7PL,0.1291953434496194,0,0.405938346791775,33.08162316858091,,0.0133025006156841,-0.0176782523834677
71425,0,50,MIP,0.5164302917491421,0,0.4189803677399356,34.49639978481574,,0.0030352306150326,-0.030152372901165
16128,0,50,MIP,0.0979651028552547,0,0.4523914841439771,38.04113957811917,,0.0269331211226561,0.0106095959753444
16125,0,46,7PL,0.4152405275885499,0,0.4078583953739592,33.29088018453717,,-0.0040136666321571,0.033794955129616
63641,0,46,7PL,0.8299498993259214,0,0.4047113809302458,32.94773388017488,,0.0233973968928589,-0.0179834423705071
71417,0,46,7PL,0.2468473135115459,0,0.4481336755298131,37.59638914119442,,0.010298930886533,0.0321991470302993
68662,5,139,TPOJ1,4.70419005723619,0,0.4336443305365355,36.067194553637336,MTG-bodies,-0.0123128912959581,-0.0308955705544095
102754,0,46,7PL,0.2094768364080588,0,0.4058898919907698,33.076338140279574,,-0.0107261446353053,0.0332523823255951
27346,0,175,A4,-1.8951730874530688,0,0.4514159148792456,37.93942704775614,,0.0162314237038053,-0.0281105328707049
71418,0,46,7PL,0.231438466297708,0,0.4409063487463284,36.83659575588111,,0.0103179114217595,0.0341765197671546
102758,0,50,MIP,0.2323220032077839,0,0.4050507556076779,32.984780199090146,,0.0252897721086913,0.0206862895409245
162350,0,135,TF,0.4405381180795796,0,0.424126419169623,35.050159326782,mFus-faces,-0.0282722565872503,-0.0183032209490623
101101,5,139,TPOJ1,4.25870526648732,0,0.407627760976865,33.2657615604942,,-0.0058602571552067,-0.0416048460838344
86478,5,137,PHT,4.747370687936956,0,0.4410112828489191,36.847670172014965,,0.0439553982491163,-0.004581592370057
32524,0,50,MIP,0.1605374389065105,0,0.4236678377109238,35.00091984005766,,0.0007149120177119,0.0498145992072327
