neuroid_id,parc_lang,parc_glasser,parc_name_glasser,tstat_langloc_SN,top10_tstat_langloc_SN_parc_lang_int,ncsnr,nc,visfAtlas_name,corr_SentPC1,corr_SentPC2
20494,2,81,IFSp,1.6972471336604211,0,0.4228212670204408,34.909964631486204,,0.1766931904545083,-0.1616320308020503
98483,2,81,IFSp,5.582857545292538,2,0.6590818052102193,56.581514640593234,,0.5120702629488991,-0.2547827968998845
154630,2,81,IFSp,6.506669111350424,2,0.4618060113405461,39.01674414583606,,0.5092931683267319,-0.114034652359223
37903,2,81,IFSp,3.740263598059788,0,0.4422452093284009,36.97780103408569,,0.1425232693128112,-0.1032897961909616
68649,5,140,TPOJ2,6.8720699909782095,5,0.5079680478413636,43.63322041913097,MTG-bodies,0.270839431900156,-0.1404003409871927
45719,1,75,45,7.705177014907044,1,0.4104471640285995,33.572499939816424,,0.3948680010787352,0.0956744759351301
86489,5,137,PHT,4.317860671369513,0,0.4444783458263045,37.21286657970398,,0.2088959502288115,-0.1595989222903477
98153,5,129,STSdp,3.873623540497297,0,0.5566711561052861,48.177085667475,,0.2380814739150879,0.4101814867818379
12740,5,25,PSL,5.334576403502739,0,0.4377565882704633,36.50360229311788,,0.3164524324840023,-0.081867766502847
39999,4,176,STSva,2.7153307233942083,0,0.4166300006828145,34.242612131665034,,0.262999014740682,-0.3556437106346425
160982,4,176,STSva,0.1989893625287726,0,0.4714220124718111,40.00178104217093,,0.3853745892352006,-0.2748909283986785
86491,5,137,PHT,5.490769544324728,0,0.4667430770762052,39.52395555890029,,0.1554047858636201,-0.2235170859043765
127527,4,176,STSva,1.6450151183005115,0,0.5899640359686709,51.08045399978407,,0.3212815025038371,-0.2483480243163486
68710,5,129,STSdp,2.462390336561528,0,0.4053518495350729,33.017639473900644,,0.3065487150206373,0.075266447516465
157215,5,130,STSvp,4.0969170919528,0,0.4415239654384774,36.90175911730809,,0.1898286719620452,0.0338221354020549
83768,1,66,47m,0.0651896272919625,0,0.4338239317205354,36.086293165949215,,0.3770295824747783,-0.4651854904158736
78153,5,149,PFm,7.731894304744928,5,0.4330780181330958,36.00695054088025,,0.2403177215749354,0.2363196307551617
78175,5,28,STV,12.41199292139229,5,0.6165583778182154,53.28047454583248,,0.2499311044331664,0.0597608376808388
146987,5,150,PGi,8.886426154355227,5,0.6752531734566191,57.76849656120964,,0.1548843590004655,0.2820113872435582
157216,5,130,STSvp,4.280217134824189,0,0.4685110343824781,39.7048347143282,,0.2542672557550975,0.0742602741023286
42073,2,81,IFSp,1.6384242172276906,0,0.6030851194453,52.17907941360065,,0.4997452349149835,-0.262593495265085
119124,4,176,STSva,2.984154213879731,0,0.4641620066533636,39.25917225654405,,0.4481072301739052,-0.1704877706716011
110754,1,75,45,2.136970495091509,0,0.4229923235146304,34.92834870787943,,0.0465402733939904,-0.0046710167601589
135367,5,137,PHT,3.089105043768463,0,0.4184047972712617,34.434300458306026,,0.0749946409303103,-0.1305816622691102
86431,5,140,TPOJ2,-2.694638273553867,0,0.6630747920533134,56.87804905351405,MTG-bodies,0.520550854124964,-0.3665965975165209
15017,1,76,47l,4.5524928506167415,0,0.6143963430393782,53.10555197160023,,0.3715434108160365,-0.3335699040168572
146984,5,150,PGi,12.283164219587029,5,0.4150404799026669,34.070678073622005,,0.2800778236243549,0.2620144974979794
95122,5,149,PFm,2.8488839614052925,0,0.4986821277092872,42.72792374930842,,0.361948313276025,-0.2106848279323875
1749,4,125,A5,5.562705912411216,4,0.475055826496907,40.37092083365782,,0.3416071180502034,0.2663448788158382
147033,5,28,STV,12.59192067165842,5,0.6080952836048884,52.591797468176246,,0.3400777141829811,0.3119581322959715
7652,1,75,45,5.316261299967241,0,0.4267227374722892,35.3285294290027,,0.3508514823058245,0.0233523911963219
12597,2,75,45,5.685135472371056,2,0.5401012765291368,46.67031204877928,,0.4765686086499924,-0.0141146301462788
135442,5,129,STSdp,4.969062652267391,0,0.4123264246151809,33.776555426869606,,0.3803581775181862,0.1553705666752744
149683,3,79,IFJa,1.8846229857419792,0,0.4337288199565765,36.0761795114774,,0.3893421129121964,-0.0895616837968002
38756,5,130,STSvp,4.30513209486001,0,0.4396932113556271,36.70847461455938,,0.1692543481550294,0.4573846602474795
78176,5,28,STV,9.476334929149491,5,0.6253656204416459,53.98589114188177,,0.3096774348423717,0.0992318000111793
64300,2,81,IFSp,6.16278278901896,2,0.5081210786909997,43.64803755679206,,0.5026626034404902,-0.1757068474002699
108131,3,73,8C,7.255695856899742,3,0.4214154828648233,34.75876845449663,,0.3101501373991137,0.1057868559449605
28982,5,130,STSvp,5.725582832418381,5,0.5592674688527313,48.40947188980885,,0.2521462108096259,0.3935957180720405
157217,5,130,STSvp,4.850355769839865,0,0.4712183296486064,39.981039143248296,,0.3375083917484158,0.1109890943842119
153731,1,66,47m,-1.4712267330652535,0,0.6374696700819424,54.93674170178053,,0.4807026690678819,-0.4455913237684075
12831,5,129,STSdp,0.6812736479511696,0,0.5021046274527923,43.06300006819336,,0.2958383907021826,0.019724171888455
58694,5,149,PFm,8.16879479778458,5,0.4224704369832379,34.872250404516855,,0.2722783222445147,0.2608773396751496
43521,5,140,TPOJ2,1.6239845901800565,0,0.5624334833606504,48.69148588121618,MTG-bodies,0.5488509618312526,-0.1253086711951916
96770,5,140,TPOJ2,1.4179436990660454,0,0.5851343710914104,50.66957898858146,MTG-bodies,0.5297274950540487,-0.145395473397468
