,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,1,langfroi12345,0.28963654226178326,0.43071219597224364,0.29018489486896987,0.4315276391955472,0.6724595796689451,6,35,14.4,8.309031231136396,640.0,1000.0,,,,lang_LH_IFGorb,0.020807827254407607,0.030942866877815015,S3T_baseline_avg
1,2,langfroi12345,0.270261745260217,0.40177498594979955,0.27115852626411796,0.4031081534496817,0.6726694162438109,6,65,29.0,11.260550608207398,820.0,1000.0,,,,lang_LH_IFG,0.028145657943042135,0.04184173869566959,S3T_baseline_avg
2,3,langfroi12345,0.2800719391446149,0.39010207747462816,0.2815112435446196,0.3921068325324716,0.7179452643720682,13,212,85.8,47.13130594413866,100.0,100.0,,,,lang_LH_MFG,0.03598734263635117,0.050125468363979735,S3T_baseline_avg
3,4,langfroi12345,0.32551037129689336,0.4811367957436154,0.3267045812792758,0.4829019572101435,0.6765443303786496,5,37,15.0,10.75174404457249,640.0,1000.0,,,,lang_LH_AntTemp,0.028202061962144198,0.041685460502433026,S3T_baseline_avg
4,5,langfroi12345,0.33959514515060646,0.4463321546850465,0.3402279349824831,0.4471638345637416,0.7608574501880582,15,139,64.8,16.89260193102294,100.0,100.0,,,,lang_LH_PostTemp,0.02019870639196092,0.02654729396021355,S3T_baseline_avg
