,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,332,abstract,0.3516316476393379,0.5005717819960145,0.3645452225058366,0.5189551420441191,0.7024599873313226,3,131,35.2,39.13770560469788,62.2,100.0,7.144392617290764,0.1320336362124828,0.6338671193170432,STGa,0.08573981172011336,0.12205650608775995,p1
1,3147,abstract,0.41240180904304624,0.5971825083597345,0.4135307037628374,0.5988172154964546,0.6905791835326514,4,93,35.8,17.302023003105734,26.2,10.0,5.518357933701782,0.0975752289990849,0.5732007357896969,TPOJ1,0.02392747898703934,0.03464842201677518,p1
2,5144,abstract,0.41644347072269,0.643552262752817,0.41938209006281363,0.6480934676429402,0.6471012454238584,8,110,51.6,16.53602128687551,28.0,10.0,3.381042099364614,-0.0378554243142756,0.5636829633281412,STSdp,0.03756087397417451,0.05804481793196323,p1
3,42273,abstract,0.4333944256485867,0.6125440011829645,0.44239578755262404,0.6252662004326284,0.7075319076043542,3,3,3.0,0.0,100.0,100.0,9.43604408047418,0.1257267278588625,0.5956802544971911,A5,0.061764190622565496,0.08729527242339366,p1
4,42276,abstract,0.4368536263894217,0.6451293883276747,0.446894815572308,0.6599578476658224,0.6771566050057769,10,95,37.4,13.410443691392167,46.0,10.0,7.354565887406748,0.1323730661343968,0.6199938053994178,STGa,0.06437239606445871,0.09506278989024931,p1
5,55518,abstract,0.4347184007792183,0.5951091416851729,0.4368858742365949,0.5980763113898201,0.7304851670539365,4,101,34.4,23.08765904114144,28.0,10.0,8.326826462035768,0.1185835673676641,0.6294186438033226,TPOJ1,0.031220576864212757,0.04273950830531722,p1
6,55520,abstract,0.3667002463160188,0.5177156091968861,0.36971672618321016,0.5219743429385789,0.7083044045839528,6,155,50.2,39.52922969145743,10.0,10.0,6.12949245526644,0.1364854173034497,0.575953594662377,TPOJ1,0.04085784251352664,0.05768401586818582,p1
7,61517,abstract,0.36363199824711867,0.6030276749935289,0.36434567866026446,0.6042112040622091,0.6030104642395074,8,124,58.2,17.825823964125753,100.0,100.0,5.860868772950156,0.0769070397469977,0.5697542790924273,STSdp,0.020221933309337248,0.03353496250656336,p1
8,61518,abstract,0.41786402751677443,0.6450329580407839,0.4199670056734565,0.6482792059390798,0.6478181034128707,6,107,44.0,20.31748015872047,82.0,100.0,3.567775060255902,-0.0030509022459359,0.5821447209564974,STSdp,0.031755252177531834,0.04901877858960267,p1
9,61519,abstract,0.3674682393224164,0.597883005791507,0.37234830039549904,0.6058230269160559,0.6146156284136958,4,106,41.0,22.960836221705865,44.2,10.0,4.872266316759002,0.0234617169908289,0.5833642906682605,STSdp,0.05150167817538798,0.08379493750966314,p1
