,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
0,1,langfroi12345,-0.0054391805584735305,-0.008088486985569101,-0.0054656644184565084,-0.008127870557137843,0.6724595796689451,1,6,2.6,2.0591260281974,44200.0,10000.0,,,,lang_LH_IFGorb,S3T_848
1,2,langfroi12345,-0.0715809819915654,-0.10641331427147964,-0.07176282393264098,-0.10668364310862372,0.6726694162438109,1,1,1.0,0.0,100000.0,100000.0,,,,lang_LH_IFG,S3T_848
2,3,langfroi12345,-0.0657662841958139,-0.09160347934509275,-0.06583708358701164,-0.09170209325719879,0.7179452643720682,1,5,2.0,1.5491933384829668,62200.0,100000.0,,,,lang_LH_MFG,S3T_848
3,4,langfroi12345,-0.11362163163480396,-0.16794410437407997,-0.11387625175281658,-0.1683204583047531,0.6765443303786496,1,1,1.0,0.0,60400.0,100000.0,,,,lang_LH_AntTemp,S3T_848
4,5,langfroi12345,-0.05875700071025989,-0.07722471626680813,-0.05915555644648243,-0.07774854071792447,0.7608574501880582,1,7,2.2,2.4,42400.0,10000.0,,,,lang_LH_PostTemp,S3T_848
