neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant,Featurizer,neuroid_id,top10_tstat_langloc_SN_parc_lang_int,fROI
68021,langfroi12345,0.436443616093794,0.6314608322225091,0.445298880581452,0.6442729171671203,0.6911649841490145,8,53,25.8,8.930845424706442,46.0,10.0,3.69520641067746,0.7183073823495653,0.141849388360526,IFSa,p6,Matryoshka,68021,1,IFGorb
73446,langfroi12345,0.4041847704417105,0.6237425583256165,0.4110434377378609,0.6343269321042967,0.6479993469208032,6,70,26.6,19.49974358805777,46.0,10.0,6.291577591323765,0.4831378900066271,0.3915916763504755,p47r,p6,Matryoshka,73446,1,IFGorb
141287,langfroi12345,0.4287486749726411,0.611605032882088,0.4343644155432728,0.619615821945349,0.7010221497887837,4,102,34.2,29.239699040858813,28.0,10.0,7.698724454229591,0.5797732025314126,0.3717453469835888,IFSa,p6,Matryoshka,141287,1,IFGorb
100719,langfroi12345,0.4056316177163627,0.5971848189244613,0.4073708648489202,0.5997453983728009,0.679239667289117,7,34,17.8,4.1182520563948,28.0,10.0,5.033280082975884,0.6871458494556836,0.1831669692193442,IFSa,p6,Matryoshka,100719,1,IFGorb
6694,langfroi12345,0.3986789882232909,0.5789356712300235,0.4018177357696392,0.5834935560728258,0.6886412567673469,6,45,20.4,7.914543574963752,46.0,10.0,3.2788811926820727,0.7200255554333247,0.1247471169667152,IFSa,p6,Matryoshka,6694,1,IFGorb
134553,langfroi12345,0.3998945757146633,0.5766388918006267,0.4034339179461978,0.5817425428777832,0.6934922035278315,7,30,15.8,4.354308211415448,46.0,10.0,4.56090893528193,0.6859399938142834,0.1830100780349084,45,p6,Matryoshka,134553,1,IFGorb
14994,langfroi12345,0.3712038231023202,0.5569712493602524,0.3804042577690935,0.5707760037083712,0.6664685538592735,7,56,24.2,10.628264204469138,64.0,100.0,4.643530517310438,0.7194074787003079,0.1640824874816695,IFSa,p6,Matryoshka,14994,1,IFGorb
100721,langfroi12345,0.3408396298035151,0.5564525045866631,0.3441880012236507,0.5619190334175239,0.6125224111565339,3,25,13.0,5.89915248150105,64.0,100.0,9.453987466973404,0.4263593760520318,0.5022309384527242,45,p6,Matryoshka,100721,1,IFGorb
14993,langfroi12345,0.3559461423335585,0.5500825322089172,0.3624103931027446,0.5600724464376128,0.6470777046931802,4,28,13.8,5.670978751503131,28.0,10.0,6.685066845474212,0.5939549244928799,0.3644527803980083,IFSa,p6,Matryoshka,14993,1,IFGorb
16805,langfroi12345,0.3239897832935092,0.5380260741424189,0.3358115972587515,0.5576576936716041,0.602182308375908,7,59,26.2,8.471127433818948,100.0,100.0,8.516013996137284,0.2726070005829171,0.4393450899770095,45,p6,Matryoshka,16805,1,IFGorb
103976,langfroi12345,0.3481866819354453,0.539396353280337,0.3589638702693318,0.5560919260506693,0.6455117462658938,8,57,26.8,9.431860898041275,82.0,100.0,9.220712462187397,0.3491676778006687,0.3884694354380787,45,p6,Matryoshka,103976,1,IFGorb
68028,langfroi12345,0.3488213392135238,0.5251603861224267,0.3522775204400804,0.5303637646529371,0.6642186814376471,3,28,13.6,5.499090833947008,64.0,100.0,10.867571251892327,0.4922860179514445,0.4832501142868158,45,p6,Matryoshka,68028,1,IFGorb
14995,langfroi12345,0.3267700901673407,0.519091012816185,0.3288103507614642,0.5223320711935601,0.6295044261979029,8,37,16.6,1.019803902718557,46.0,10.0,4.286492666215497,0.6643736044454537,0.265165411747461,IFSa,p6,Matryoshka,14995,1,IFGorb
100715,langfroi12345,0.354008953652807,0.5108671109610137,0.3581754935890298,0.5168798069619441,0.6929570255303102,6,155,54.8,36.96701232179847,46.0,10.0,7.722331058030922,0.6262304910348315,0.3549341326953737,IFSa,p6,Matryoshka,100715,1,IFGorb
73456,langfroi12345,0.2806817331795921,0.4909240046048219,0.2922682933940433,0.5111893794677946,0.5717417167358355,2,7,3.4,1.9595917942265424,28.0,10.0,8.885216907057558,0.279432590386437,0.1740550551531353,45,p6,Matryoshka,73456,1,IFGorb
