,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Num Features,Average Num Features Agree Direction,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,286,ghost_additional,0.42696598147141385,0.6569866685342719,0.42867832160821057,0.6596215029020936,0.6498853050153498,10,9.0,280.0,100.0,2.722005354377243,0.0968769649624465,0.0710270023917184,PGi,0.02825015141163323,0.04346944175167337,p2
1,1731,ghost_additional,0.32532908344069,0.538582906271364,0.32687280509329475,0.5411385403552913,0.6040464330607136,10,8.8,820.0,1000.0,0.7116335655812464,-0.1372174536254334,-0.070642389959193,d23ab,0.03206962235811939,0.05309131981066764,p2
2,2305,ghost_additional,0.19316765424951837,0.2878394227647112,0.19622235335118204,0.29239123465867867,0.6710951974338121,10,7.0,8200.0,10000.0,1.7202276932283411,0.0592718032427811,0.1289002433144465,TPOJ2,0.05517095763479585,0.08221032998859626,p2
3,2686,ghost_additional,0.364383023371457,0.537308230626726,0.3679261920958367,0.5425328805033688,0.6781638594041899,10,10.0,1000.0,1000.0,3.2724822565884906,0.0204403119806648,-0.1049387418759595,PGi,0.045728105919458806,0.06742928760555576,p2
4,3356,ghost_additional,-0.1491418312558053,-0.25868175351041006,-0.15121535974329012,-0.2622782225934292,0.576545617276417,10,6.0,100000.0,100000.0,-2.150584524579025,-0.0068041789424551,0.0401819729204961,H,0.05681059397790253,0.09853616483336385,p2
5,3816,ghost_additional,0.3812461546192714,0.5655877097764284,0.3848782401906142,0.5709759948387636,0.674070790487959,10,9.0,1000.0,1000.0,1.1139681698986563,-0.1072072699221051,0.0607921707396688,7m,0.04366244644367645,0.06477427454180185,p2
6,5108,ghost_additional,0.45559189613966805,0.6909510272053356,0.4592264914814282,0.6964632573528512,0.6593693014429459,10,9.6,1000.0,1000.0,5.120042509797038,0.1139685181375193,0.0338469939101482,PGi,0.03876458176065567,0.058790395118220255,p2
7,5625,ghost_additional,0.0755939533788946,0.1261556942602388,0.07581829039529095,0.12653008124209034,0.5992115839254668,10,3.6,28000.0,10000.0,1.2654888826280348,0.1048124423575462,-0.0918378312798094,TF,0.028273198011949024,0.04718399772369187,p2
8,5988,ghost_additional,0.448128396773489,0.6884585562034773,0.4564453779020296,0.7012359139004073,0.6509155747075099,10,9.0,1000.0,1000.0,2.7432691752395653,-0.0966643277894685,0.056566384289456,PGi,0.057561349815813234,0.08843136045973171,p2
9,7050,ghost_additional,0.3373608897321579,0.5611675906640239,0.3460267033062275,0.5755823431516791,0.6011767168039092,10,6.4,1000.0,1000.0,3.74575752345201,-0.0771787210988092,0.0364984433837729,TE1a,0.07082150721586372,0.11780480719941815,p2
10,7051,ghost_additional,0.1479395659443749,0.2487484513046853,0.15152811159704957,0.2547823014639768,0.5947356261654377,10,8.4,28000.0,10000.0,3.447396170126116,-0.0523296030333862,0.0091846372224443,TE1a,0.07449362607265098,0.12525502558666138,p2
