,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
0,1,langfroi12345,-0.027008753154498372,-0.04016412877602979,-0.027188412496749446,-0.0404312962723119,0.6724595796689451,1,1,1.0,0.0,80200.0,100000.0,,,,lang_LH_IFGorb,S3T_848
1,2,langfroi12345,0.08287700191693166,0.12320613947296313,0.0832033627743679,0.12369131220351277,0.6726694162438109,1,1,1.0,0.0,280.0,100.0,,,,lang_LH_IFG,S3T_848
2,3,langfroi12345,0.06667392807637144,0.09286770368864544,0.06674879418706763,0.09297198198730051,0.7179452643720682,1,1,1.0,0.0,460.0,100.0,,,,lang_LH_MFG,S3T_848
3,4,langfroi12345,0.008924125436218787,0.0131907475024203,0.008914913480395002,0.013177131312896356,0.6765443303786496,1,1,1.0,0.0,100000.0,100000.0,,,,lang_LH_AntTemp,S3T_848
4,5,langfroi12345,-0.026056945520946517,-0.034246816554804216,-0.02621811963108651,-0.03445864875819548,0.7608574501880582,1,1,1.0,0.0,82000.0,100000.0,,,,lang_LH_PostTemp,S3T_848
