,neuroid_id,parc_lang,parc_glasser,parc_name_glasser,tstat_langloc_SN,top10_tstat_langloc_SN_parc_lang_int,ncsnr,nc,corr_SentPC1,corr_SentPC2
1233,1233,5,129,STSdp,8.60548068427545,5,0.4225433469997166,34.88008925016511,0.2648371848910753,0.3534067006114125
1671,1671,5,150,PGi,9.38073766372115,5,0.5073390419988162,43.57228229784731,0.2211305727525642,0.4273773573549524
2235,2235,4,125,A5,10.740798651806124,4,0.4850121477181092,41.373399075481146,0.14876639812136,0.4750152166096211
5125,5125,5,137,PHT,9.772269714352197,5,0.4158219695123775,34.15523971895727,0.0363702448328895,0.4833214694046689
5519,5519,4,123,STGa,8.667701134527375,4,0.5998791234868424,51.91301769015195,0.0843603454182365,0.5874078951647311
7738,7738,5,150,PGi,9.888645825499564,5,0.405627229919601,33.047685701300075,0.2714083386133488,0.3584115867369852
7740,7740,5,150,PGi,11.718786984326783,5,0.43796511675506,36.52568233456782,0.323187648704986,-0.1069822373447291
12126,12126,3,73,8C,7.5905893229314065,3,0.4872993246506276,41.60181191604333,0.4030694063892746,0.2070888633763554
12131,12131,3,73,8C,7.492404505228717,3,0.4204493124368224,34.65473965484858,0.3351537489240474,-0.1560482464870745
14518,14518,3,12,55b,8.331155945737244,3,0.4046750682164688,32.94376937957944,0.4050296884096683,0.0881131534978525
14519,14519,3,12,55b,10.146880270950485,3,0.4973870944551257,42.60070791809376,0.4725167003609893,0.0929321124137457
15209,15209,5,137,PHT,8.26764484094792,5,0.4280969647037816,35.475588263145866,0.375675553391424,0.1353391302272948
16992,16992,5,150,PGi,9.40371780659839,5,0.441375792529691,36.8861296734792,0.1874991009307225,0.4274124005222414
16996,16996,5,150,PGi,8.251762348148398,5,0.4616998847861912,39.00580750160543,0.2314023302581393,-0.1221322804375917
21010,21010,4,125,A5,9.219439756382402,4,0.4871397644891697,41.58590018314524,0.1211989580691857,0.5024091791148761
21012,21012,4,129,STSdp,9.81952694513802,4,0.4409187862608635,36.837908437370274,0.1588806347213398,0.397759774720389
27273,27273,2,81,IFSp,7.065771533448729,2,0.5073113857606263,43.569601670738216,0.3970018423409928,-0.3540810154958994
27342,27342,4,125,A5,9.261461847350146,4,0.4206081886952693,34.67185242759423,0.1461926227046574,0.4121519182363028
