,neuroid_id,parc_lang,parc_glasser,parc_name_glasser,tstat_langloc_SN,top10_tstat_langloc_SN_parc_lang_int,ncsnr,nc,corr_SentPC1,corr_SentPC2
287,287,5,150,PGi,9.063295425772807,5,0.4042952248958369,32.90229258926722,0.042834215442203,0.1875787621725426
363,363,3,12,55b,4.971117777270552,3,0.4251155636790454,35.156294264976175,0.4139343311959447,0.3176392478895695
1150,1150,2,74,44,7.63020454663181,2,0.4726958699128059,40.13138131125324,0.4441552463310279,0.4133484496218952
1235,1235,5,129,STSdp,9.676314766095915,5,0.5747212032548216,49.771797817546094,0.4400529509780872,0.515409835267898
1672,1672,5,139,TPOJ1,9.352461073807438,5,0.4974062942909082,42.60259569404001,0.3045106615364993,-0.1780627474051147
1673,1673,5,139,TPOJ1,11.205067474389734,5,0.4395744234597492,36.69592033504653,0.3968004828139998,0.0574856662389181
1674,1674,5,139,TPOJ1,14.295763318909874,5,0.4911649582597322,41.98624193440331,0.4132236084191661,0.4932726878836242
1675,1675,5,139,TPOJ1,17.07828953954425,5,0.4711813875559186,39.977276595117566,0.5613456068440711,0.3164012816195466
1676,1676,5,139,TPOJ1,11.139599262306668,5,0.4387726743568712,36.61114480462204,0.5524104899234327,0.3035173976989251
1750,1750,4,123,STGa,12.695802271222538,4,0.5378125992576537,46.45898967590656,0.5116182297431686,0.0493600694870471
2236,2236,4,128,STSda,12.687627811493444,4,0.519358998554415,44.72699110366008,0.2851756812462805,0.5675976444668449
2313,2313,5,129,STSdp,11.309390927882031,5,0.4432959905128636,37.08848024213817,0.4191384770541982,0.5335982651727941
2314,2314,5,129,STSdp,10.1862926535525,5,0.4700260519643369,39.85951671115642,0.302347555857766,0.5355549726764981
2605,2605,4,129,STSdp,11.09506275533714,4,0.4570421245887083,38.52443310944462,0.1397925191460765,0.449469671669786
3078,3078,1,75,45,9.4779786646574,1,0.4332457517998864,36.02479758105186,0.3903433357507195,0.0988519096726184
3147,3147,5,139,TPOJ1,10.368992408350596,5,0.6187153073412711,53.454294024923634,0.2962502406612936,-0.2644806668608774
3148,3148,5,139,TPOJ1,9.134627304891117,5,0.6032549336687625,52.193129316246,0.3207117431675872,-0.3348363988175332
3149,3149,5,139,TPOJ1,9.358350170446592,5,0.4405274474840094,36.79659732137604,0.3994945922744897,0.0111422324950012
3673,3673,2,81,IFSp,8.904689294828106,2,0.4464296495652798,37.41779420613462,0.3793794122577857,0.3047523522831532
3751,3751,5,139,TPOJ1,15.530957357227988,5,0.4703936804983816,39.8970066917676,0.5984121594745209,0.2012274469238836
5137,5137,5,129,STSdp,14.937844035524895,5,0.5149281671613077,44.30375114061344,0.4460776670574995,0.5803437314681937
5138,5138,5,129,STSdp,13.685641100333346,5,0.4863833461831121,41.510421253461566,0.4279099073547583,0.4598942575075796
5139,5139,5,129,STSdp,9.244398556015527,5,0.5712114690370008,49.465538108333135,0.2607539585510529,0.616206366675538
5140,5140,5,129,STSdp,9.817716003823962,5,0.5151419039963817,44.324232536707065,0.2105953497008339,0.6110084841892862
5141,5141,5,129,STSdp,11.940880152793,5,0.4700034481282514,39.85721105063172,0.2723416304837727,0.5779343628157507
5142,5142,5,129,STSdp,8.959661790166717,5,0.5335928668186549,46.0673394021962,0.1407057162506986,0.6028336718740936
5143,5143,5,129,STSdp,9.01010432423038,5,0.4811256601637023,40.98365037821584,0.1035738581883256,0.5895160041483577
5147,5147,5,129,STSdp,9.99916569501648,5,0.5146329895105175,44.275454859949534,0.4432015526303845,0.4387085810995209
5490,5490,4,128,STSda,13.044271096199877,4,0.4331014224502237,36.00944096784767,0.3631442452542607,0.4556546001583951
5492,5492,4,128,STSda,10.269098721850051,4,0.5278991313756868,45.53473255025007,0.4489701899968953,0.2499208638020243
5993,5993,5,28,STV,9.059750366460852,5,0.4548449864686443,38.29643434442395,0.3193153278906065,-0.1302194309623892
5994,5994,5,139,TPOJ1,9.880629609977726,5,0.4325833433053854,35.954298902542185,0.5279316406558511,0.2006279219321071
6680,6680,2,74,44,8.461522649613755,2,0.4398608339665125,36.72618736292516,0.4394340252952509,0.464775759172928
6694,6694,1,82,IFSa,3.2788811926820727,1,0.548318854601957,47.4226780522111,0.7200255554333247,0.1247471169667152
6697,6697,1,75,45,3.351400416708842,1,0.418879275900683,34.485495146664334,0.2291131898042966,0.2902227344224901
6829,6829,5,129,STSdp,10.341721843721752,5,0.4364555541024472,36.36573319860109,0.2296680748477125,0.562972223244366
6830,6830,5,129,STSdp,11.640814312370736,5,0.4713561128500547,39.99507078816137,0.3339124726959644,0.5323649238031222
