,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
0,1,langfroi5,-0.06700537191762085,-0.09964222972421316,-0.06719779327544581,-0.09992837533599802,0.6724595796689451,1,3,1.8,0.7483314773547883,80200.0,100000.0,,,,lang_LH_IFGorb,S3T_avg
1,2,langfroi5,-0.12653430488222633,-0.18810771208953495,-0.12981890821894468,-0.1929906505098062,0.6726694162438109,1,7,2.6,1.3564659966250538,60400.0,100000.0,,,,lang_LH_IFG,S3T_avg
2,3,langfroi5,0.05155575059945616,0.07181014090892852,0.052678348029782704,0.07337376627987988,0.7179452643720682,1,5,2.4,1.4966629547095764,42400.0,10000.0,,,,lang_LH_MFG,S3T_avg
3,4,langfroi5,0.08497200741235422,0.12559710221028225,0.08518956803466378,0.12591867850992813,0.6765443303786496,1,14,3.6,5.2,280.0,100.0,,,,lang_LH_AntTemp,S3T_avg
4,5,langfroi5,-0.0809027599499067,-0.10633103471604344,-0.08360684019969758,-0.10988502534743243,0.7608574501880582,1,2,1.2,0.4,80200.0,100000.0,,,,lang_LH_PostTemp,S3T_avg
