neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant,Featurizer,neuroid_id,top10_tstat_langloc_SN_parc_lang_int,fROI
6707,langfroi12345,0.4432723642967083,0.7201808916453741,0.4458181841763746,0.7243170638468952,0.6155014239325043,5,84,35.4,20.75186738585229,262.0,100.0,5.97324318979182,0.4044510593420448,-0.2271768114213554,47l,p3,Matryoshka,6707,1,IFGorb
23984,langfroi12345,0.415028519690709,0.698529492115216,0.4170302718317781,0.701898616982788,0.5941460230032118,4,16,6.4,4.800000000000001,1000.0,1000.0,5.871908031676094,0.0926686378217434,0.2131303882602938,45,p3,Matryoshka,23984,1,IFGorb
55333,langfroi12345,0.4335165869869428,0.662672139482372,0.4369944659454897,0.6679884147057475,0.6541946781187636,4,7,4.8,1.16619037896906,1000.0,1000.0,7.177383810593707,0.1077787395485772,0.2500805212829038,45,p3,Matryoshka,55333,1,IFGorb
100727,langfroi12345,0.4021377187708378,0.6631005535015264,0.4042957336249532,0.6666589882800454,0.6064505852805205,7,103,37.0,27.87113201863175,100.0,100.0,5.683240881740141,0.386508852239193,0.147833046533958,45,p3,Matryoshka,100727,1,IFGorb
31007,langfroi12345,0.3937774408224759,0.6399396665569947,0.402661093509971,0.6543767600755304,0.615335259558262,10,127,45.2,30.85060777359175,64.0,100.0,5.689996508825412,0.4483026028802425,-0.1896055415496921,47l,p3,Matryoshka,31007,1,IFGorb
154936,langfroi12345,0.398535963885001,0.6474937849245438,0.4012179652005092,0.6518511813462432,0.6155054660971684,4,16,6.8,4.621688003316537,820.0,1000.0,6.668717986788402,0.1014456965436257,0.2464823501072702,45,p3,Matryoshka,154936,1,IFGorb
45719,langfroi12345,0.3433173823905404,0.5925212791688461,0.3497157284310181,0.6035639946703762,0.5794178107360562,6,43,18.0,9.16515138991168,640.0,1000.0,7.705177014907044,0.3948680010787352,0.0956744759351301,45,p3,Matryoshka,45719,1,IFGorb
154932,langfroi12345,0.3391856490011929,0.5903187279456367,0.3423169461899142,0.5957684377983645,0.574580532421172,3,39,16.8,9.620810776644555,82.0,100.0,8.16427835634087,0.255626792248049,0.2990997637514377,45,p3,Matryoshka,154932,1,IFGorb
55331,langfroi12345,0.4021714353273459,0.5856380135651968,0.4063971946308334,0.5917915219124139,0.6867235835307909,4,7,4.8,0.7483314773547882,820.0,1000.0,9.104129530006198,0.1298217867746002,0.2581728775450262,45,p3,Matryoshka,55331,1,IFGorb
55334,langfroi12345,0.3805870792985813,0.5706507976682875,0.3841007736940083,0.5759192174822454,0.6669351569360498,4,13,6.0,3.521363372331802,622.0,1000.0,8.301520499964713,0.1114729744365802,0.2923719574408533,45,p3,Matryoshka,55334,1,IFGorb
23983,langfroi12345,0.3790486878012428,0.5704168572910622,0.3816920487330588,0.5743947569222649,0.6645117214827132,3,10,5.4,1.3564659966250536,820.0,1000.0,5.883224890870922,0.0953339552402093,0.2361532104245398,45,p3,Matryoshka,23983,1,IFGorb
84741,langfroi12345,0.3441636751256023,0.5670736913291415,0.3478534635835933,0.5731533043514425,0.6069117301473302,2,8,4.6,1.743559577416269,640.0,1000.0,7.336110572435519,0.0924637004209342,0.2363474854131839,45,p3,Matryoshka,84741,1,IFGorb
103981,langfroi12345,0.3246089868087195,0.5645718369429118,0.3289279201316314,0.5720834839361825,0.5749648947535851,5,75,24.4,22.703303724348135,262.0,100.0,6.437413479425182,0.2968764215582794,0.1709913757690833,45,p3,Matryoshka,103981,1,IFGorb
23988,langfroi12345,0.3611601922030091,0.5581989422399098,0.3701321626211273,0.572065765066237,0.6470098111504214,4,116,40.6,31.588605540605933,262.0,100.0,5.9685151583563165,0.3650993396633756,-0.2617603888461794,47l,p3,Matryoshka,23988,1,IFGorb
154935,langfroi12345,0.3757871451293131,0.5632897308844861,0.3796359932698215,0.5690589985706817,0.6671294087666865,4,14,7.4,3.1368774282716245,280.0,100.0,9.602411924921496,0.1245297727854628,0.2931366457790574,45,p3,Matryoshka,154935,1,IFGorb
3086,langfroi12345,0.3625776045176045,0.5517748537241576,0.3693283921804217,0.562048281615904,0.6571115049379612,4,86,32.4,22.5884926455928,262.0,100.0,5.810720686053402,0.3741040612849629,-0.2723027834632484,47l,p3,Matryoshka,3086,1,IFGorb
110746,langfroi12345,0.3744598726165837,0.5484909291933131,0.3781070847396459,0.5538331912422878,0.6827093260545191,5,28,12.8,5.706137047074843,280.0,100.0,5.81043701717212,0.3701126266593175,0.0723920690540396,45,p3,Matryoshka,110746,1,IFGorb
117400,langfroi12345,0.3644217258202876,0.5453003678099958,0.3682982502360043,0.5511009829762747,0.66829539705586,3,7,4.4,0.8,1000.0,1000.0,7.086547880792169,0.1349496452820509,0.2419212014136195,45,p3,Matryoshka,117400,1,IFGorb
23982,langfroi12345,0.3416315664614578,0.5375016744675546,0.3454991805600152,0.5435867358560591,0.6355916319700319,3,8,4.6,1.3564659966250536,640.0,1000.0,7.78477456372022,0.1738462324642481,0.23754014216998,45,p3,Matryoshka,23982,1,IFGorb
117391,langfroi12345,0.3414862690307381,0.525693862891475,0.3473113627537416,0.5346611810493682,0.6495915077883172,4,11,6.4,1.2,640.0,1000.0,9.368766420650577,0.2051024756387944,0.3332340861892662,45,p3,Matryoshka,117391,1,IFGorb
55330,langfroi12345,0.3712260087017199,0.528644365091395,0.3753649038314965,0.5345383583374843,0.7022225776255845,4,20,7.6,5.314132102234569,640.0,1000.0,10.20031215806889,0.1360254490128676,0.3252815777066733,45,p3,Matryoshka,55330,1,IFGorb
55329,langfroi12345,0.37183684511831,0.5284042104575863,0.3754580952176221,0.533550241101719,0.7036977332112997,3,7,4.4,0.4898979485566356,1000.0,1000.0,9.722952230296992,0.1501270159551571,0.2607670491758931,45,p3,Matryoshka,55329,1,IFGorb
154933,langfroi12345,0.3194872756191199,0.5232318484367422,0.3212053186967692,0.5260455281160672,0.6106036484087328,4,46,17.6,11.534296684236972,100.0,100.0,9.51631080462758,0.2298332568833193,0.3404573842478041,45,p3,Matryoshka,154933,1,IFGorb
93101,langfroi12345,0.3588326554734731,0.5083508467393701,0.3608201227020071,0.5111664507070717,0.7058759865850002,4,12,6.0,1.4142135623730951,1000.0,1000.0,11.453559488515705,0.1716466613642782,0.2992662373768493,45,p3,Matryoshka,93101,1,IFGorb
84742,langfroi12345,0.3045285543231821,0.5032775576463352,0.30902267695162,0.5107047464208991,0.6050906695449778,3,19,8.2,5.035871324805669,640.0,1000.0,8.512428856101208,0.0868582184338097,0.2207406095659738,45,p3,Matryoshka,84742,1,IFGorb
51285,langfroi12345,0.3262439686774122,0.4933866805729359,0.3319303565428632,0.5019863431038906,0.6612338385352592,3,26,11.2,5.5641710972974225,100.0,100.0,7.731474502510343,0.3229625513164516,0.074591642635097,45,p3,Matryoshka,51285,1,IFGorb
