,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,685,abstract,0.37365242945235366,0.6082138404567983,0.3796213029167314,0.6179296917849716,0.6143438452037239,9,70,30.4,12.499599993599796,82.0,100.0,5.692113754632012,0.1382825336851855,0.4987156275346276,STSdp,0.055963279127491994,0.09109439211348148,p4
1,3491,abstract,0.2923972827822948,0.5004440989202414,0.3066532795941537,0.5248435372831227,0.5842756132266749,4,18,10.0,3.0983866769659336,100.0,100.0,1.3851862479213102,0.0492953250415084,0.456848948148111,STSvp,0.09436619199442708,0.16150972222387944,p4
2,5491,abstract,0.2837531355867218,0.48459697610335756,0.2916383516336503,0.4980634417491456,0.5855445856645242,4,44,21.4,7.200000000000001,100.0,100.0,3.743427502329476,-0.012805645161158,0.4999228358854091,STSda,0.07323223104065019,0.12506687421170537,p4
3,5498,abstract,0.22388839963297053,0.3693306626247976,0.22730498322409362,0.37496672542970894,0.6062004114194504,4,51,19.2,11.754148203932091,80.2,100.0,5.787014117507412,0.0970208581958664,0.4334393135130103,A5,0.05666493012882787,0.09347557187588167,p4
4,9919,abstract,0.4153973645240828,0.6287176158411594,0.4228336992705856,0.6399727538167567,0.6607057827834583,6,79,34.2,20.5854317418897,100.0,100.0,5.171969531243122,0.1027073810665729,0.4230011835354056,STSdp,0.05886430334612902,0.08909306514337167,p4
5,13574,abstract,0.247097168873562,0.3967701257916729,0.2519340857118675,0.40453688455757497,0.6227716070622268,5,37,17.4,7.08801805866774,262.0,100.0,4.194969465585384,0.0928457892581795,0.4750694969696087,STSdp,0.06463195651913894,0.10378115473829072,p4
6,13575,abstract,0.2977410479339235,0.5163708775516619,0.30478344039430294,0.5285844651643327,0.5766030984273218,4,33,16.4,6.216108107168021,100.0,100.0,2.9452101658983096,0.0655980591005784,0.4881615868881473,STSdp,0.06760271514834326,0.11724306604097147,p4
7,39993,abstract,0.4625517199515395,0.6703955480966926,0.467942385041311,0.6782084644076333,0.689968364594248,6,80,31.2,18.26909959467078,44.2,10.0,5.126654422229701,0.0789931606679564,0.4042070243501374,STSdp,0.046325996965519645,0.06714220440057816,p4
8,61448,abstract,0.4382258920689421,0.7213689198296386,0.4446083546343884,0.7318751683421404,0.6074920613053794,11,90,45.2,15.263027222671132,64.0,100.0,7.446541001249784,0.1276963954940289,0.5001380950843928,TPOJ2,0.05218492023714083,0.08590222582498583,p4
9,63762,abstract,0.24346648684643518,0.39459345438632176,0.2518389527195424,0.4081629615221632,0.6170058933822871,5,29,14.2,4.019950248448356,280.0,100.0,2.145662539203837,0.0400731949675309,0.4587927530354451,STSva,0.08537126399663908,0.1383637740130051,p4
10,86409,abstract,0.3235930648267705,0.5437720583279884,0.33027251535914576,0.5549963364701482,0.5950895414188202,4,28,14.4,4.5431266766402185,46.0,10.0,2.9570210144702305,0.0810270777270217,0.4347141024433159,TPOJ2,0.06750747233681759,0.11344086500976877,p4
11,89739,abstract,0.3484196804203001,0.5869166180923852,0.35880491411178544,0.6044106535296283,0.5936442582810906,7,42,23.0,2.0,82.0,100.0,4.9782319464817615,0.0544341264600338,0.4937226176675505,STSda,0.07825552595279744,0.1318222569513061,p4
12,93836,abstract,0.28374003037317125,0.497336930932865,0.29332823805225344,0.5141430536854076,0.5705187222693362,5,22,11.8,4.166533331199932,100.0,100.0,1.103477050025492,-0.0047880498396181,0.4322548027449979,STSvp,0.08164663172302722,0.14310946956878773,p4
13,129147,abstract,0.29889747723709553,0.48875273810980496,0.31317217628140914,0.5120945150565119,0.6115515145614266,5,25,11.8,4.166533331199932,100.0,100.0,2.9483064660382787,0.0817311961258428,0.4673368323790356,STSvp,0.0932439689965549,0.15247116028062607,p4
14,129148,abstract,0.24930264490658605,0.41112391319723407,0.25330627688066487,0.41772628536541384,0.6063929557582916,4,30,16.4,5.083306010855534,28.0,10.0,4.973001382298342,0.1228157995563627,0.486312088533523,STSdp,0.05923858172291724,0.09769008884484759,p4
15,129150,abstract,0.27096522901415887,0.4448901489705225,0.27900514760264666,0.45809066400175663,0.609060977504612,5,27,13.4,4.363484845854286,100.0,100.0,1.4301945765990514,0.0180881149197565,0.4442582983765891,STSva,0.07704904218151082,0.12650464407880635,p4
16,143395,abstract,0.341163849986135,0.5760741535596686,0.34955246928112205,0.5902388042402443,0.5922221086955917,4,43,16.6,11.377170122662314,64.0,100.0,4.879277754716703,0.1168401976682908,0.4329374923529432,A5,0.06809126518081954,0.11497589195174603,p4
17,160935,abstract,0.44275573637162535,0.6789449612063299,0.4638743773679872,0.7113293973957019,0.65212316412946,7,46,23.2,9.064215354899728,82.0,100.0,5.863269169826827,0.1023061274882695,0.4738439572135128,STSdp,0.09159632097384407,0.14045862194777103,p4
18,160937,abstract,0.4099906361128086,0.6979175404922368,0.4203378057143094,0.71553128705924,0.5874485341400717,12,65,33.0,11.882760622010357,82.0,100.0,5.42862559200134,0.108696465164084,0.4619926293566715,STSda,0.07011966456141261,0.11936307691031402,p4
19,160941,abstract,0.46181196189163654,0.721520958282563,0.4712711175261591,0.7362996552440031,0.6400534268483177,10,72,33.4,16.8949696655543,82.0,100.0,4.208894971836358,0.0975901985366137,0.4364397829093119,STSda,0.060006894259845234,0.09375294583660732,p4
20,1206,concrete,0.28630410554086955,0.4461125867064651,0.3037803724284745,0.47334371080254994,0.641775448782065,3,55,19.8,14.551975810864997,82.0,100.0,0.6267269572798224,0.1047107391088205,-0.3994910389954693,PSL,0.1037735703045532,0.16169763193885087,p4
21,7201,concrete,0.34568595660574114,0.5621229470934669,0.35506815382390006,0.5773794197667222,0.6149650328156098,7,83,34.6,19.31424344881259,80.2,100.0,3.862985476567452,0.067284515638066,-0.3545362644046401,PHA3,0.07460110027537664,0.12130949939351256,p4
22,13437,concrete,0.34850143344503925,0.5956015322570833,0.35566640960364443,0.6078467352006279,0.5851251458745632,2,6,4.0,1.2649110640673518,64.0,100.0,2.221243101970113,0.0950341395129903,-0.3726044764532303,PHA2,0.062390015216222505,0.10662678857011117,p4
23,15840,concrete,0.37760950253198305,0.6288373846272047,0.3853710137267202,0.6417627171935902,0.6004883166350586,4,49,22.6,10.518555033843764,64.0,100.0,3.686965367825055,0.0596475503601727,-0.3584112099291471,PHA2,0.06343122020266945,0.10563272997236214,p4
24,28669,concrete,0.2888218308838043,0.40863591466273586,0.29664442119380935,0.419703607629639,0.706795023443255,6,37,23.0,0.8944271909999159,64.0,100.0,3.590674697728668,0.0220794824247316,-0.3625324066105441,PHA3,0.08662722691111763,0.12256343641060242,p4
25,32159,concrete,0.35828820152826246,0.5881760487313056,0.36124362236470947,0.5930277511945876,0.6091512945844859,3,25,11.0,6.06630035524124,44.001999999999995,10.0,2.4509328314186063,0.0706182160128551,-0.3741957753931311,PHA2,0.04247570230803821,0.069729314680373,p4
